Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question246,"1. Solution-1 at the rate F combines with solution-2 at the rate D, their combination gives the product at the rate P, what is the equation of material balance?","a)	F + D = P","b)	F Ð P = D","c)	D Ð F = P","d)	None of the mentioned",a,Explanation: The general equation of material balance is F + D = P.
Question247,"2. Solution-1 containing 30% sulfuric acid flowing at the rate 10 Kg/min combines with Solution-2 containing 20% sulfuric acid flowing at the rate 5 Kg/min, if their product is out at the rate 20 Kg/min what is the percentage of sulfuric acid in the product?","a)	10%","b)	20%","c)	30%","d)	40%",b,"Explanation: Equation of material balance, 0.3(10) + 0.2(5) = x(20), => x = 0.2, => Percentage of sulfuric acid in the product = 20%."
Question248,"3. Solution-1 containing 10% nitric acid flowing at the rate 10 Kg/min combines with Solution-2 containing 40% nitric acid flowing at the rate 5 Kg/min, if their product contains 30% nitric acid, what is the flow rate of product?","a)	10 Kg/min","b)	20 Kg/min","c)	30 Kg/min","d)	40 Kg/min",a,"Explanation: Equation of material balance, 0.1(10) + 0.4(5) = 0.3(x), => x = 10 Kg/min."
Question249,"4. Solution-1 containing 10% nitric acid and 20% acetic acid at the rate F combines with Solution-2 containing 20% nitric acid and 10% acetic acid at the rate D, the product formed contains 30% nitric acid and 20% acetic acid at the rate P, how many independent equations containing F, D, and P are possible?","a)	1","b)	2","c)	3","d)	4",c,"Explanation: The equations of material balance are: 0.1F + 0.2D = 0.3P, 0.2F + 0.1D = 0.2P, and F + D = P."
Question250,"5. Solution-1 containing 10% hydrochloric acid and 20% acetic acid at the rate F combines with Solution-2 containing 20% hydrochloric acid and 30% acetic acid at the rate D, the product formed contains 20% hydrochloric acid and 30% acetic acid at the rate P, how many independent equations containing F, D, and P are possible?","a)	1","b)	2","c)	3","d)	4",b,"Explanation: The equations of material balance are: 0.1F + 0.2D = 0.2P, 0.2F + 0.3D = 0.3P and F + D = P, but if we subtract first two of them then we get the third, so number of independent equations are 2."
Question251,"6. Solution-1 containing 40% nitric acid and 20% carbon dioxide at the rate F combines with Solution-2 containing 30% nitric acid and 40% carbon dioxide at the rate D, the product formed contains 30% nitric acid and 20% carbon dioxide at the rate P, If P = xF what is x?","a)	1","b)	2","c)	3","d)	4",b,"Explanation: The equations of material balance are: 0.4F + 0.2D = 0.3P, 0.2F + 0.4D = 0.3P, and F + D = P, Solving these we get D = F = P/2, => x = 2."
Question252,"7. Solution-1 containing 40% acetic acid and 20% carbon dioxide at the rate F combines with Solution-2 containing 20% acetic acid and 40% carbon dioxide at the rate D, the product formed contains 30% acetic acid at the rate P, what is the percentage of carbon dioxide in product?","a)	10%","b)	20%","c)	30%","d)	40%",c,"Explanation: The equations for material balance are: 0.4F + 0.2D = 0.3P, F + D = P, and 0.2F + 0.4D = yP, solving these we get y = 0.3, => percentage of carbon dioxide = 30%."
Question253,"8. Solution-1 containing 20% w1 and w2 at the rate 10 Kg/min combines with Solution-2 containing 10% w1, 20% w2 and w3 at the rate 20 Kg/min, the product formed contains and 10% w1, 30% w2 and 20% w3, what is the percentage of w2 in solution-1?","a)	5%","b)	10%","c)	25%","d)	50%",d,"Explanation: Rate of product, P = 10 + 20 = 30 Kg/min, equation of material balance for w2: x(10) + 0.2(20) = 0.3(30), => w2 = 0.5, => percentage of w2 = 50%."
Question254,"9. CH4 at the rate 10 mole/min is reacted with O2 at the rate 10 mole/min, what is the rate of formation of CO2 in the product?","a)	5 mole/min","b)	10 mole/min","c)	20 mole/min","d)	40 mole/min",a,"Explanation: The balanced chemical reaction is: CH4 + 2O2 -> CO2 + 2H2O, this means O2 is the limiting reagent, => rate of formation of CO2 = 10/2 = 5 mole/min."
Question255,"10. CH4 at the rate 10 mole/min is reacted with O2 at the rate 30 mole/min, what is the rate of formation of CO2 in the product?","a)	5 mole/min","b)	10 mole/min","c)	20 mole/min","d)	40 mole/min",b,"Explanation: The balanced chemical reaction is: CH4 + 2O2 -> CO2 + 2H2O, this means CH4 is the limiting reagent, => rate of formation of CO2 = 10 mole/min."
Question256,"11. Solution-1 containing 30% acetic acid and 20% nitrogen at the rate F combines with Solution-2 containing 20% acetic acid and 10% nitrogen at the rate D and Solution-3 containing 10% acetic acid and 30% nitrogen at the rate N the product formed contains 20% acetic acid at the rate P, what is the percentage of nitrogen in product?","a)	10%","b)	20%","c)	30%","d)	Cannot be determined",d,"Explanation: The equations for material balance are: 0.3F + 0.2D + 0.1N = 0.2P, F + D + N = P, and 0.2F + 0.1D + 0.3N = yP, since there are 5 variables and 3 equation, the equations cannot be solved."
Question257,"12. Solution-1 containing 30% acetic acid and 20% nitrogen at the rate F combines with Solution-2 containing 20% acetic acid and 10% nitrogen at the rate D and Solution-3 containing 10% acetic acid and 30% nitrogen at the rate N the product formed contains 20% acetic acid at the rate P, what is the percentage of nitrogen in product?","a)	10%","b)	20%","c)	30%","d)	Cannot be determined",d,"Explanation: The equations for material balance are: 0.3F + 0.2D + 0.1N = 0.2P, F + D + N = P, and 0.2F + 0.1D + 0.3N = yP, since there are 5 variables and 3 equation, the equations cannot be solved."
Question258,"13. Solution-1 containing 30% acetic acid and 20% nitrogen at the rate F combines with Solution-2 containing 20% acetic acid and 10% nitrogen at the rate D and Solution-3 containing 10% acetic acid and 30% nitrogen at the rate N the product formed contains 20% acetic acid at the rate 10 Kg/min, what is the percentage of nitrogen in product?","a)	10%","b)	20%","c)	30%","d)	Cannot be determined",d,"Explanation: The equations for material balance are: 0.3F + 0.2D + 0.1N = 0.2(10), F + D + N = 10, and 0.2F + 0.1D + 0.3N = y(10), since there are 4 variables and 3 equation, the equations cannot be solved."
Question259,"14. Solution-1 containing 30% acetic acid and 100% nitrogen at the rate 10 Kg/min combines with Solution-2 containing 20% acetic acid and 10% nitrogen at the rate 20 Kg/min and Solution-3 containing 10% acetic acid and 30% nitrogen at the rate 30 Kg/min the product formed contains 20% acetic acid, what is the percentage of nitrogen in product?","a)	10%","b)	20%","c)	30%","d)	Cannot be determined",a,"Explanation: The equations for material balance are: P = 10 + 20 + 30 = 60 Kg/min, and 0.1(10) + 0.1(20) + 0.3(30) = y(60), => y = 0.1, => Percentage of nitrogen in the product = 10%."
Question260,"15. Solution-1 containing 30% acetic acid and 20% nitrogen at the rate 10 Kg/min combines with Solution-2 containing 20% acetic acid and 10% nitrogen at the rate 20 Kg/min and Solution-3 containing 10% acetic acid and 30% nitrogen at the rate N the product formed contains 20% acetic acid at the rate P, what is the percentage of nitrogen in product?","a)	10%","b)	17.5%","c)	25.5%","d)	32.5%",b,"Explanation: The equations for material balance, P = F + D + N = 30 + N, and 0.3(10) + 0.2(20) + 0.1N = 0.2P = 0.2(30 + N), => N = 10 Kg/min, => P = 40 Kg/min, equation of material balance for nitrogen: 0.2(10) + 0.1(20) + (0.3)10 = y(40), => y = 7/40 = 0.175, => Percentage of nitrogen in the product is 17.5%."
Question261,"1. An aqueous solution with sulfur 10 g/L at the rate is 100 L/min and an organic compound with no sulfur at the rate 50 L/min were put into an extraction machine and produced an aqueous solution with sulfur 1 g/L, what is the amount of sulfur in the organic compound after extraction?","a)	2 g/L","b)	5 g/L","c)	9 g/L","d)	15 g/L",c,"Explanation: Let the amount of sulfur in the organic compound be x. Sulfur balance equation, 100(10) + 50(0) = 100(1) + 50(x), => x = 9 g/L."
Question262,"2. An aqueous solution with chlorine 30 g/L and an organic compound with no chlorine at the rate 50 L/min were put into an extraction machine and produced aqueous solution with chlorine 5 g/L and organic compound with chlorine 10 g/L, what is the rate of aqueous solution?","a)	10 L/min","b)	20 L/min","c)	30 L/min","d)	40 L/min",c,"Explanation: Let the rate of an aqueous solution be x. Chlorine balance equation, x(30) + 50(0) = x(5) + 50(10), => x = 20 L/min."
Question263,"3. A gas mixture input is given to a membrane with 40% O2 and 60% N2, the waste contains 80% of the input and the product contains 25% O2 and 75% N2, what is the percentage of O2 in the waste?","a)	0.22","b)	0.44","c)	0.66","d)	0.88",b,"Explanation: Let the input is 100 Kg mol, => waste = 0.8(100) = 80 Kg mol, => Product = 20 Kg mol. Equation of material balance, O2: 0.4(100) = 0.25(20) + y(80), => y = 0.4375 Å 0.44."
Question264,"4. A gas mixture input is given to a membrane with 20% O2 and 80% N2, the waste contains 60% of the input and the product contains 30% O2 and 70% N2, what are the number of moles of O2 in the waste?","a)	1","b)	2","c)	3","d)	CanÕt be determined",d,"Explanation: Since the amount of input is not given, number of moles of O2 cannot be determined."
Question265,"5. 100 Kg mol of a gas mixture input is given to a membrane with 30% O2 and 70% N2, the waste contains 60% of the input and the product contains 10% O2 and 90% N2, what are the number of moles of O2 in the waste?","a)	12","b)	16","c)	34","d)	42",c,"Explanation: Let the moles of O2 in the waste be x, Amount of waste = 100(0.6) = 60 Kg mol, => amount of product = 40 Kg mol. Material balance equation for O2: 0.3(100) + 0.1(40) = x, => x = 34 moles."
Question266,"6. A liquid solid mixture with 10% solid and 90% liquid is input to a dryer, some of the liquid evaporated and the product contains 60% solid and 40% liquid, what is the ratio of an amount of water evaporated and amount of input?","a)	2:1","b)	3:2","c)	5:4","d)	6:5",d,"Explanation: Let the amount of input be F and the amount of evaporated water be W. Solid balance: 0.1*F = 0*W + 0.6*(F Ð W), => F/W = 6/5."
Question267,"7. A liquid solid mixture with 20% solid and 80% liquid is input to a dryer, if the amount of evaporated water is 60% of the amount of input, what is the percentage of solid in the product?","a)	40%","b)	50%","c)	80%","d)	90%",b,"Explanation: Let the amount of input be F, => the amount of evaporated water be 0.6F, => amount of product = 0.4F. Solid Balance: 0.2(F) = 0(0.6F) + x(0.4F), => x = 0.5, => percentage of solid in the product = 50%."
Question268,"8. A 100 Kg liquid solid mixture with 10% solid and 90% liquid is input to a dryer, if the amount of evaporated water is 60% of the amount of input, what is the amount of liquid in the product?","a)	10 Kg","b)	20 Kg","c)	30 Kg","d)	40 Kg",c,"Explanation: Let the amount of liquid in the product be x. Liquid balance: 0.9(100) = 1(60) + x, => x = 30 Kg."
Question269,"9. 50 Kg of a solid liquid mixture containing 10% solid and 90% water is left open in an atmosphere, after some time the water is 80%, what is the weight of the mixture now?","a)	10 Kg","b)	25 Kg","c)	35 Kg","d)	50 Kg",b,"Explanation: Let the new weight of mixture be P. Solid balance: 0.1(50) = 0.2P, => P = 25 Kg."
Question270,"10. 50 Kg of a solid liquid mixture containing 20% solid and 80% water is left open in the atmosphere, after some time the water is 60%, how much water is evaporated?","a)	15 Kg","b)	25 Kg","c)	35 Kg","d)	45 Kg",b,"Explanation: Let the weight of the water evaporated be W. Water Balance: 0.8(50) = 1(W) + 0.6(50 Ð W), => W = 25 Kg."
Question271,"11. A gas mixture of 40% He and 60% Ne is passed through a diffusion tube and the product has 10% He and 90% Ne, what is the percentage of He recovered?","a)	25%","b)	33.3%","c)	50%","d)	66.6%",b,"Explanation: Let the amount of input gas mixture be F, amount of He recovered be D. He balance: 0.4F = 1D + 0.1(F Ð D), => D/F = 0.333, => percentage of He recovered = 33.3%."
Question272,"12. 100 Kg of a gas mixture of 40% He and 60% Ne is passed through a diffusion tube and the product has 20% He and 80% Ne, what is the amount of He recovered?","a)	25 Kg","b)	45 Kg","c)	50 Kg","d)	75 Kg",a,"Explanation: Let the amount of He recovered be D, He Balance: 0.4(100) = 1(D) + 0.2(100 Ð D), => D = 25 Kg."
Question273,"13. A gas mixture of 40% He and 60% Ne is passed through a diffusion tube, if the amount of He is recovered is 20% of the input, what is the percentage of He in the product?","a)	25 %","b)	33.3 %","c)	50 %","d)	66.6 %",a,"Explanation: Let the amount of input be F, He balance: 0.4(F) = 1(0.2F) + x(F Ð 0.2F), => x = 0.25, => Percentage of He in the product = 25%."
Question274,"14. 400 g of CaSO4 is dissolved with 500 g of H2O, if 226 g of CaSO4.5H2O crystallizes out, then what is the percentage of CaSO4 in the remaining solution?","a)	39.16%","b)	51.54%","c)	62.28%","d)	75.67%",a,"Explanation: Moles of crystal = 226/226 = 1, => the crystal has 136 g of CaSO4 and 90 g of water, => Remaining solution has 264 g of CaSO4 and 410 g of H2O, => Percentage of CaSO4 in remaining solution = 264/(264 + 410) *100 = 39.16%."
Question275,15. How much nitrogen must be added to a 20% nitrogen solution to obtain 100 Kg of 40% nitrogen solution?,"a)	10 Kg","b)	25 Kg","c)	50 Kg","d)	75 Kg",b,"Explanation: Let the amount of nitrogen added be x, and amount of 20% nitrogen solution be P. Nitrogen balance: x + 0.2(P) = 0.4(100), Water balance: 0.8(P) = 0.6(100), => P = 75 Kg, => x = 0.4(100) Ð 0.2(75), => x = 25 Kg."
Question276,1. Which of the following does stoichiometry of a reaction is all about?,"a)	Extent of reaction","b)	Heat of reaction","c)	Amount of reactants and products","d)	None of the mentioned",c,"Explanation: By definition, Stoichiometry relates the amount of reactants and products in a reaction."
Question277,"2. C2H4 + xO2 -> 2CO2 + yH2O, what is the value of x + y?","a)	2","b)	3","c)	5","d)	8",c,"Explanation: The balance combustion equation is C2H4 + 3O2 -> 2CO2 + 2H2O, => x = 3, y = 2, => x + y = 5."
Question278,"3. C5H12 + xO2 -> yCO2 + zH2O, what is the value of x + y*z?","a)	24","b)	38","c)	46","d)	54",b,"Explanation: The balanced chemical reaction is: C5H12 + __2 -> 5CO2 + 6H2O, => x + y*z = 8 + 5*6 = 38."
Question279,"4. wC3H6O3 + xO2 Ð> yCO2 + zH2O, what is the value of w + x + y + z?","a)	3","b)	6","c)	10","d)	14",d,"Explanation: The balanced chemical reaction is: C3H6O3 + 3O2 Ð> 3CO2 + 3H2O, => w + x + y + z = 14."
Question280,"5. wC3H7O4 + xO2 -> yCO2 + zH2O, what is the value of w + x + y + z?","a)	21","b)	35","c)	41","d)	47",c,"Explanation: The balanced chemical reaction is: 4C3H7O4 + 11O2 -> 12CO2 + 14H2O, => w + x + y + z = 41."
Question281,"6. 20 grams of CaCO3 is heated, how much calcium oxide will produce?","a)	5.6 grams","b)	11.2 grams","c)	22.4 grams","d)	44.8 grams",b,"Explanation: The balance chemical reaction is CaCO3 -> CaO + CO2, moles of CaO = moles of CaCO3 = 20/100 = 0.2, => amount of CaO = 0.2*56 = 11.6 grams."
Question282,"7. 56 grams of carbon monoxide is oxidized with excess oxygen, how much carbon dioxide will it produce?","a)	22 grams","b)	44 grams","c)	66 grams","d)	88 grams",d,"Explanation: The balanced chemical reaction is 2CO + O2 -> 2CO2, => moles of CO2 = moles of CO = 56/28 = 2, => amount of CO2 = 2*44 = 88 grams."
Question283,"8. Pentane is burnt to produce carbon dioxide 40% of which can be converted into carbon monoxide, how much Butane must be burnt to produce 176 grams of carbon monoxide?","a)	18 grams","b)	36 grams","c)	72 grams","d)	96 grams",b,"Explanation: The balanced chemical reaction is C5H12 + __2 -> 5CO2 + 6H2O, Let the mass of pentane be x, => (x/72)*5*44*(40/100) = 176, => x = 36 grams."
Question284,"9. 1 mole of glucose is burnt, how much carbon dioxide will it produce?","a)	44 grams","b)	176 grams","c)	264 grams","d)	352 grams",b,"Explanation: The balanced chemical reaction is C6H12O6 + 6O2 -> 6CO2 + 6H2O, => moles of CO2 produced = 6, => amount of CO2 produced = 6*44 = 264 grams."
Question285,"10. 78 grams of benzene is burnt in air, how much water will it produce?","a)	18 grams","b)	36 grams","c)	54 grams","d)	72 grams",c,"Explanation: The balanced chemical reaction is C6H6 + 7.5O2 -> 6CO2 + 3H2O, => moles of water = 3*78/78 = 3, => weight of water produced = 3*18 = 54 grams."
Question286,"11. xKMnO4 + yFeS + zH2SO4 -> xMnSO4 + wFe2(SO4)3 + uK2SO4 + zH2O, what is the value of x + y + z + w + u?","a)	60","b)	74","c)	85","d)	98",b,"Explanation: The balanced chemical reaction is 18KMnO4 + 10FeS + 32H2SO4 -> 18MnSO4 + 5Fe2(SO4)3 + 9K2SO4 + 32H2O, => x + y + z + w + u = 74."
Question287,"12. 158 grams of potassium permanganate is reacted with ferrous sulfide in the presence of hydrochloric acid, approximately how much ferric sulfate will it produce?","a)	111 grams","b)	169 grams","c)	254 grams","d)	399 grams",a,"Explanation: The balanced chemical reaction is 18KMnO4 + 10FeS + 32H2SO4 -> 18MnSO4 + 5Fe2(SO4)3 + 9K2SO4 + 32H2O, => weight of ferric sulfate = (158/158)*(5/18)*400 = 111.1 grams Å 111 grams."
Question288,"13. 20 grams of NaOH is reacted with excess HCl, how much NaCl will it produce?","a)	29.25 grams","b)	58.5 grams","c)	117 grams","d)	234 grams",a,"Explanation: The balanced chemical reaction is NaOH + HCl -> NaCl + H2O, => amount of NaCl = (20/40)*58.5 = 29.25 grams."
Question289,"14. xFeS2 + yO2 -> zFe2O3 + wSO2, what is the value of x + y + z + w?","a)	16","b)	21","c)	25","d)	32",c,"Explanation: The balanced chemical reaction is 4FeS2 + 11O2 -> 2Fe2O3 + 8SO2, => x + y + z + w = 25."
Question290,"15. 60 grams of FeS2, is burnt in air, how much sulfur dioxide will produce?","a)	16 grams","b)	32 grams","c)	64 grams","d)	128 grams",c,"Explanation: The balanced chemical reaction is 4FeS2 + 11O2 -> 2Fe2O3 + 8SO2, => amount of SO2 produced = (60/120)*(8/4)*64 = 64 grams."
Question291,"1. What is extent of reaction of a in the reaction 2CO + O2 -> 2CO2, if 20 moles CO2 is produced?","a)	5","b)	10","c)	20","d)	40",b,Explanation: Extent of reaction = (20 Ð 0)/2 = 10.
Question292,"2. N2 + 2O2 -> 2NO2, what is the extent of reaction if 6 moles of NO2 is produced?","a)	3","b)	6","c)	12","d)	18",a,Explanation: Extent of reaction = (6 Ð 0)/2 = 3.
Question293,"3. CH4 + 2O2 -> CO2 + 2H2O, what is the extent of reaction if only 50% of 96 grams of CH4 is consumed?","a)	1","b)	2","c)	3","d)	4",c,"Explanation: Moles of CH4 = 96/16 = 6, => Extent of reaction = (6*0.5 Ð 6)/(-1) = 3."
Question294,"4. H2O2 + H2 -> 2H2O, if the extent of reaction is 10, how much water is produced?","a)	10 moles","b)	20 moles","c)	30 moles","d)	40 moles",b,"Explanation: 10 = (x Ð 0)/2, => x = 20 moles."
Question295,"5. 4FeS2 + 11O2 -> 2Fe2O3 + 8SO2, what is the extent of reaction if 512 grams of SO2 is produced?","a)	1","b)	2","c)	3","d)	4",a,"Explanation: Moles of SO2 = 512/64 = 8, => Extent of reaction = (8 Ð 0)/8 = 1."
Question296,6. Which of the following is true about limiting reagents?,"a)	Consumes completely","b)	Consumes partially","c)	Does not react","d)	None of the mentioned",a,Explanation: Limiting reagent is the reactant which reacts completely in a reaction.
Question297,7. Which of the following is true about excess reagents?,"a)	Consumes completely","b)	Consumes partially","c)	Does not react","d)	None of the mentioned",b,Explanation: Excess reagents are reactants which are excess in amount and reacts partially in a reaction.
Question298,"8. 4 moles of CH4 and 4 moles of O2 are reacted, then what type of reactant CH4 is?","a)	Limiting reagent","b)	Excess reagent","c)	CanÕt say","d)	None of the mentioned",b,"Explanation: The balanced chemical reaction is CH4 + 2O2 -> CO2 + 2H2O, => If 4 moles of O2 are reacting only 2 moles of CH4 will react, this means CH4 is an excess reagent."
Question299,"9. 2 moles of N2 and 8 moles of H2 are reacted, then what type of reactant N2 is?","a)	Limiting reagent","b)	Excess reagent","c)	CanÕt say","d)	None of the mentioned",a,"Explanation: The balanced chemical reaction is N2 + 3H2 -> 2NH3, => If 2 moles of N2 are reacting only 6 moles of H2 will react, this means H2 is an excess reagent and N2 is a limiting reagent."
Question300,"10. 4 moles of CO and 2 moles of O2 are reacted, then what type of reactant O2 is?","a)	Limiting reagent","b)	Excess reagent","c)	CanÕt say","d)	None of the mentioned",d,"Explanation: The balanced chemical reaction is 2CO + O2 -> 2CO2, => If 4 moles of CO are reacting, 2 moles of O2 will react, this means none of the two is limiting reagent or excess reagent."
Question301,"11. If 28 grams of N2 and 10 grams of H2 are reacted, how much NH3 will produce?","a)	17 grams","b)	34 grams","c)	51 grams","d)	54 grams",b,"Explanation: Moles of N2 = 28/28 = 1, moles of H2 = 10/2 = 5, Reaction is N2 + 3H2 -> 2NH3, => N2 is limiting reagent, => moles of NH3 = 2*1 = 2, => weight of NH3 = 2*17 = 34 grams."
Question302,"12. 10 moles of C6H12 reacted with 18 moles of O2, how many moles of CO2 will produce?","a)	3","b)	6","c)	9","d)	12",d,"Explanation: The balanced chemical reaction is C6H12 + 9O2 -> 6CO2 + 3H2O, => O2 is the limiting reagent, => moles of CO2 = (18/9)*6 = 12."
Question303,"13. 5 moles of Al2O3 are reacted with 10 moles H2SO4, how many moles of Al2(SO4)3 will produce?","a)	3.33","b)	10","c)	30","d)	33.3",a,"Explanation: The balanced chemical reaction is Al2O3 + 3H2SO4 -> Al2(SO4)3 + 3H2O, =>  moles of Al2(SO4)3 = 10/3 = 3.33. "
Question304,"14. 10 grams of NaCl and 1.8 grams of H2O are reacted, how much sodium hydroxide will produce?","a)	4 grams","b)	10 grams","c)	40 grams","d)	80 grams",a,"Explanation: The balanced chemical reaction is NaCl + H2O -> NaOH + HCl, in this case H2O is a limiting reagent, => moles of NaOH = moles of H2O = 1.8/18 = 0.1, => weight of NaOH = 0.1*40 = 4 grams."
Question305,"15. 1 mole of potassium permanganate and 1 mole of ferrous sulfide are reacted in presence of excess hydrochloric acid, how many moles of Ferric sulfate will produce?","a)	10/18","b)	5/18","c)	1/18","d)	1/36",b,"Explanation: The balanced chemical reaction is 18KMnO4 + 10FeS + 32H2SO4 -> 18MnSO4 + 5Fe2(SO4)3 + 9K2SO4 + 32H2O, => KMnO4 is limiting reagent, => moles of Fe2(SO4)3 = (5/18)*1 = 5/18."
Question306,"1. A reactor is supplied with 6 moles of CO and 3 moles of O2 and produced 4 moles of CO2, what is the extent of reaction?","a)	1","b)	2","c)	3","d)	4",b,"Explanation: The reaction is 2CO + O2 -> 2CO2, => Extent of reaction = (4 Ð 0)/2 = 2."
Question307,"2. A reactor is supplied with 6 moles of N2 and 9 moles of H2, if 3 moles of NH3 is produced, how many moles of H2 are left at the end?","a)	1.5","b)	3","c)	4.5","d)	6",c,"Explanation: The reaction is N2 + 3H2 -> 2NH3, => extent of reaction = (3 Ð 0)/2 = 1.5, => moles of H2 left = 9 Ð 1.5*3 = 4.5."
Question308,"3. A reactor is supplied with 10 moles of CH4 and 10 moles of O2, if the extent of reaction is 3, what are the moles of CO2 produced?","a)	3","b)	6","c)	8","d)	12",a,"Explanation: The chemical reaction is CH4 + 2O2 -> CO2 + 2H2O, => moles of CO2 produced = 3*1 = 3."
Question309,"4. A reactor is supplied with 10 moles of O2 and 10 moles of H2, if the extent of reaction is 5, how many moles of water is produced?","a)	5","b)	10","c)	15","d)	20",b,"Explanation: The chemical reaction is 2H2 + O2 -> 2H2O, => moles of H2O produced = 5*2 = 10."
Question310,"5. A reactor is supplied with 5 moles of KNO3 and some H2SO4, if the extent of reaction is 2, how many moles of H2SO4 were supplied?","a)	1","b)	2","c)	5","d)	Cannot be determined",d,"Explanation: Since the final moles of H2SO4 are not given, initial moles cannot be determined."
Question311,"6. A reactor is supplied with a 100 mole feed of composition 46% C3H7O4, 44% O2 and 10% N2, if 50% of the limiting reagent is converted into product, what is the extent of reaction?","a)	1","b)	2","c)	3","d)	4",b,"Explanation: The reaction is 4C3H7O4 + 11O2 -> 12CO2 + 14H2O, => limiting reagent is O2, => Extent of reaction = (44*0.5 Ð 44)/(-11) = 2."
Question312,"7. A reactor is supplied with a feed of composition 46% C3H7O4, 44% O2 and 10% N2, if 50% of the limiting reagent is converted into product, what is the percentage of O2 in the product?","a)	10","b)	18","c)	38","d)	54",b,"Explanation: The reaction is 4C3H7O4 + 11O2 -> 12CO2 + 14H2O, => Limiting reagent is O2. Let 100 moles of feed was supplied, => after the reaction, moles of CO2 = 24, moles of H2O = 28, moles of O2 = 22, moles of C3H7O4 = 38, moles of N2 = 10, => percentage of O2 = 18%."
Question313,"8. A reactor is supplied with a feed of composition 46% C3H7O4, 44% O2 and 10% N2, if 50% of the limiting reagent is converted into product, what is the percentage of N2 in the product?","a)	8","b)	18","c)	34","d)	46",a,"Explanation: The reaction is 4C3H7O4 + 11O2 -> 12CO2 + 14H2O, => Limiting reagent is O2. Let 100 moles of feed was supplied, => after the reaction, moles of CO2 = 24, moles of H2O = 28, moles of O2 = 22, moles of C3H7O4 = 38, moles of N2 = 10, => percentage of N2 = 8%."
Question314,"9. A reactor is supplied with a feed of composition 46% C3H7O4, 44% O2 and 10% N2, if 50% of the limiting reagent is converted into product, what is the percentage of C3H7O4 in the product?","a)	10","b)	16","c)	31","d)	43",c,"Explanation: The reaction is 4C3H7O4 + 11O2 -> 12CO2 + 14H2O, => Limiting reagent is O2. Let 100 moles of feed was supplied, => after the reaction, moles of CO2 = 24, moles of H2O = 28, moles of O2 = 22, moles of C3H7O4 = 38, moles of N2 = 10, => percentage of C3H7O4 = 31%."
Question315,"10. A reactor is supplied with a feed of composition 46% C3H7O4, 44% O2 and 10% N2, if 50% of the limiting reagent is converted into product, what is the percentage of H2O in the product?","a)	15","b)	23","c)	39","d)	51",b,"Explanation: The reaction is 4C3H7O4 + 11O2 -> 12CO2 + 14H2O, => Limiting reagent is O2. Let 100 moles of feed was supplied, => after the reaction, moles of CO2 = 24, moles of H2O = 28, moles of O2 = 22, moles of C3H7O4 = 38, moles of N2 = 10, => percentage of H2O = 23%."
Question316,"11. A reactor is supplied with two steams with equal flow rates, stream-1 containing 75% SO2, 25% N2 and stream-2 containing pure H2S, if the product has 1200 grams of S, and the ratio of H2S to H2O is 5 and the ratio of SO2 to H2S is 2, what is the rate of streams?","a)	10 mole","b)	20 moles","c)	30 moles","d)	40 moles",c,"Explanation: The reaction is 2H2S + SO2 -> 3S + H2O, => extent of reaction, E = (1200/32)/3 = 12.5, Let the rate be F. nSO2p = 2nH2Sp, => 0.75F Ð E = 2(F Ð 2E), => 1.25F = 3(12.5), => F = 30 moles."
Question317,"12. A reactor is supplied with two steams with equal flow rates, stream-1 containing 75% SO2, 25% N2 and stream-2 containing pure H2S, if the product has 1200 grams of S, and the ratio of H2S to H2O is 5 and the ratio of SO2 to H2S is 2, what fraction of limiting reagent is converted into product?","a)	0.21","b)	0.46","c)	0.73","d)	0.83",d,"Explanation: The reaction is 2H2S + SO2 -> 3S + H2O, => extent of reaction, E = (1200/32)/3 = 12.5, Let the rate be F. nSO2p = 2nH2Sp, => 0.75F Ð E = 2(F Ð 2E), => 1.25F = 3(12.5), => F = 30 moles, => limiting reagent is H2S, => fraction of H2S converted into product = 2E/F = 2(1.25)/3 = 0.83."
Question318,"13. A reactor is supplied with two steams with equal flow rates, stream-1 containing 75% SO2, 25% N2 and stream-2 containing pure H2S, if the product has 1200 grams of S, and the ratio of H2S to H2O is 5 and the ratio of SO2 to H2S is 2, how many moles of water are produced?","a)	1","b)	2","c)	3","d)	4",a,"Explanation: The reaction is 2H2S + SO2 -> 3S + H2O, => extent of reaction, E = (1200/32)/3 = 12.5, Let the rate be F. nSO2p = 2nH2Sp, => 0.75F Ð E = 2(F Ð 2E), => 1.25F = 3(12.5), => F = 30 moles. 5nH2Op = nH2Sp, => 5 nH2Op = 30 Ð 2(12.5) = 5, => nH2Op = 1."
Question319,"14. A reactor is supplied with two steams with equal flow rates, stream-1 containing 75% SO2, 25% N2 and stream-2 containing pure H2S, if the product has 1200 grams of S, and the ratio of H2S to H2O is 5 and the ratio of SO2 to H2S is 2, what fraction of excess reagent is converted into product?","a)	0.23","b)	0.55","c)	0.74","d)	0.87",b,"Explanation: The reaction is 2H2S + SO2 -> 3S + H2O, => extent of reaction, E = (1200/32)/3 = 12.5, Let the rate be F. nSO2p = 2nH2Sp, => 0.75F Ð E = 2(F Ð 2E), => 1.25F = 3(12.5), => F = 30 moles. => The excess reagent is SO2, => fraction of SO2 converted into product = E/0.75F = 12.5/(0.75*30) = 0.55."
