Question,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 195,9. Active heat sinks are less durable than passive heat sink because of the presents of,a) Complex electrical network,b) Non-metal components,c) Metal components,d) Moving components,c,Explanation: Active heat sink include moving components and hence it should be periodically serviced.
Question 196,10. Aluminum heat sink is also called,a) Folded-Fin heat sink,b) Bonded-Fin heat sink,c) Sleeve bearing type heat sink,d) Extrusion heat sink,d,Explanation: Aluminum heat sinks are also called as extruded heat sinks as they can be made using extrusion.
Question 197,1. Which of the following heat sink is used for low power application,a) Stamped heat sink,b) Machining heat sink,c) Aluminum heat sink,d) Bolded-Fin heat sink,a,Explanation: Stamped heat sinks are made of metal that are stamped to form a particular shape. These are cheaper compared to extruded heat sinks. These are used for low-power applications and hence these are low in performance.
Question 198,2. The performance of heat sink does not depend upon,a) Choice of material,b) Protrusion design,c) Surface treatment,d) none of the mentioned,d,"Explanation: The performance of the heat sink depends on the factors like the choice of a material, protrusion design, surface treatment and air velocity."
Question 199,3. Heat sinks are also called,a) High sinks,b) Heat spreaders,c) On-sinks,d) Active heat sinks,b,"Explanation: Heat sinks are also called as Heat spreaders, which are frequently used as covers on a computerÍs memory to dissipate its heat."
Question 200,4. Heat dissipation from heat sink take place primarily by,a) Conduction,b) Convection,c) Radiation,d) All of the mentioned,d,Explanation: Heat dissipation from heat sink take place primarily by convection since there is no actual contact between heat sink and transistor. Heat dissipation is also take place by Radiation but it is comparatively low.
Question 201,5. Heat sinks are provided with peripheral fins to,a) Provide good appearance,b) Increase heat absorption,c) Increase surface area of heat dissipation,d) Provide material stability,c,Explanation: Heat sinks are provided with peripheral fins to increase surface area of heat conduction. Increase in dissipation also increase absorption but more correct option is c.
Question 202,6. Heat sinks are usually provided with black anodized finish to,a) Enhance heat dissipation by radiation,b) Enhance heat dissipation by convection,c) Prevent electrical connection,d) Remove dust accumulation,a,Explanation: Heat sinks are usually provided with black anodized finish to enhance heat dissipation by radiation.
Question 203,7. Which substance is used to maintain electrical insulation between heat sink and transistor?,a) plastic,b) fiber,c) ceramic,d) mica,d,Explanation: Substance is used to maintain electrical insulation between heat sink and transistor is a mica layer.
Question 204,8. De-rating factor is usually expressed in,a) W/ÁC,b) ÁC/W,c) W/s,d) kW/K,a,Explanation: De-rating factors for determining the power dissipation rating is usually given at any temperature above 25ÁC. The de-rating factor is specified in W/ÁC.
Question 205,9. Cavities embedded in heat source is also known as,a) Low sink,b) Sink hole,c) On-sink,d) Inverted sink,d,Explanation: Cavities embedded in heat source is also known as inverted sink.
Question 206,10. By dividing volumetric thermal resistance by required thermal resistance we will obtain,a) Power dissipation of heat sink,b) Volume of heat sink,c) Maximum temperature of heat sink,d) Volume of surrounding air,b,Explanation: By dividing volumetric thermal resistance by required thermal resistance we will obtain volume of heat sink.
Question 207,1. Oscillators are used to ______ AC voltage.,a) Prevent,b) Generate,c) Amplify,d) Rectify,b,Explanation: Oscillators are used for the generation of AC voltage.
Question 208,2. Oscillator __________ an AC input for giving an AC output,a) DoesnÍt need,b) Need,c) DoesnÍt need at lower frequencies,d) DoesnÍt need at higher frequencies,a,Explanation: Oscillators doesnÍt need an input for sustained oscillation.
Question 209,3. Negative resistance are incorporated in oscillator for,a) Sustained oscillation,b) Damped oscillation,c) Biasing the oscillator,d) Increasing amplitude of oscillation,a,Explanation: Negative resistance are incorporated in oscillator for sustained oscillation. Negative resistance will cancel the damping by positive (normal) resistance.
Question 210,4. For accomplishing negative resistance in oscillator we use,a) Voltage divider circuit,b) Negative feedback,c) Positive feedback,d) Current divider circuit,c,Explanation: For accomplishing negative resistance we use positive feedback.
Question 211,5. Primary trigger for oscillation is obtained from,a) DC voltage,b) Noise voltage,c) External trigger voltage,d) No trigger is required,b,Explanation: The primary trigger for oscillation is obtained from noise voltage.
Question 212,6. The AC power of output signal is obtained by,a) Input AC voltage,b) Input DC voltage,c) DC biasing voltage,d) Power is generated by transistor itself,c,Explanation: The Ac power of output signal is obtained by DC biasing voltage of amplifier.
Question 213,7. The output of a stable oscillator have,a) Constant amplitude,b) Varying amplitude,c) Constant amplitude at high frequencies only,d) Constant amplitude at low frequencies only,a,Explanation: Output of a stable oscillator have constant amplitude and frequency.
Question 214,8. The output waveform of a stable oscillator have,a) Constant frequency at low amplitude only,b) Constant frequency at high amplitude only,c) Variable frequency,d) Constant frequency,d,Explanation: Output of a stable oscillator have constant amplitude and frequency.
Question 215,9. In an oscillator if phase of feedback is same as that of oscillation waveform then feedback is called,a) Positive feedback,b) Negative feedback,c) Cannot be predicted,d) Either positive or negative depending upon frequency,a,Explanation: In an oscillator if phase of feedback is same as that of oscillation waveform then feedback is called positive feedback.
Question 216,10. The output of oscillator will not depend upon,a) Feedback,b) Amplifier,c) Both feedback and amplifier,d) Input voltage,d,Explanation: The output of oscillator will not depend upon input voltage. There is no input voltage for an oscillator.
Question 217,1. Frequency of oscillation of alternator is,a) 100Hz,b) 50Hz,c) 1KHz,d) 200Hz,b,Explanation: Frequency of oscillation of an AC alternator is 50Hz.
Question 218,2. Oscillation can be classified as damped and sustained on the basis of varying,a) Input power,b) Frequency,c) Amplitude,d) Noise margin,c,Explanation: Oscillation can be classified as damped and sustained on the basis of varying amplitude.
Question 219,3. Damped oscillations are those oscillations which ___________ continuously with time,a) Increasing,b) Decreasing,c) Increasing or decreasing,d) Neither increasing nor decreasing,c,Explanation: Damped oscillations are those oscillations which decreases or increases continuously with time.
Question 220,4. If the oscillation amplitude decreases continuously it is called,a) Overdamped,b) Underdamped,c) Sustained,d) No specific name,b,Explanation: If the oscillation amplitude decreases continuously it is called underdamped oscillation.
Question 221,5. If oscillation amplitude increases continuously it is called,a) Overdamped,b) Underdamped,c) Sustained,d) No specific name,a,Explanation: If oscillation amplitude increases continuously it is called overdamped oscillation.
Question 222,6. Which of the following is not an example for sinusoidal oscillator?,a) RC phase shift oscillator,b) Weinbridge oscillator,c) Crystal oscillator,d) Blocking oscillator,d,Explanation: Blocking oscillator is a non-sinusoidal oscillator.
Question 223,7. Mark-to-space ratio is related with,a) Saw-tooth generator,b) LC oscillator,c) RC oscillator,d) Crystal oscillator,a,Explanation: MSR or Mark-to-space ratio is related with saw-tooth generator. It is the ratio of width of pulse to time between pulses.
Question 224,8. The ratio of width of pulse to time between pulses are called,a) PSRR,b) PSR,c) MSR,d) CMRR,c,"Explanation: The ratio of width of pulse to time between pulses is called MSR (Mark-to-Space ratio). Other abbreviation denotes PSRR (Power Supply Rejection Ratio), PSR (Power Supply Rejection), CMRR (Common Moe Rejection Ratio)."
Question 225,9. The time between one pulse to another is known as,a) MSR,b) PRF,c) Time delay,d) PRT,a,"Explanation: The time between one pulse to another is known as PRT (Power Repetition Time), other abbreviations denotes PRF (Power Repetition Frequency), MSR (Mark-to-Space ratio)."
Question 226,10. The inverse of Pule repetition time gives,a) PRF,b) PRT,c) MSR,d) PSR,a,"Explanation: The inverse of Pule repetition time gives PRF (Power Repetition Frequency), other abbreviation denotes PRT (Power Repetition Time), PSR (Power Supply Rejection), MSR (Mark-to-Space ratio)."
Question 227,1. Which of the following is not an example for non-sinusoidal oscillator,a) Sawtooth Generators,b) Blocking oscillators,c) Multivibrator,d) Crystal oscillators,d,Explanation: Since crystal oscillator produce a sine wave output it is not a non-sinusoidal oscillator.
Question 228,2. Which of the following is not an LC oscillator,a) Hartley Oscillator,b) Colpitts oscillator,c) Crystal oscillator,d) Clapp oscillator,c,Explanation: Crystal oscillator is not an LC oscillator because it does not contain any L or C. 
Question 229,3. The sinusoidal oscillator is also called,a) LC oscillator,b) Harmonic oscillator,c) RC oscillator,d) Crystal oscillators,b,Explanation: Sinusoidal oscillators are called harmonic oscillators.
Question 230,4. Which type of oscillators are used in timing elements,a) RC oscillator,b) LC oscillator,c) Crystal oscillator,d) Weinbridge oscillators,c,Explanation: Crystal oscillators are best suitable for the use in timing elements because of its high frequency stability.
Question 231,5. Which of the following oscillator is not using feedback network for its oscillation,a) LC oscillator,b) RC oscillator,c) Crystal oscillator,d) Relaxation oscillators,d,Explanation: UJT relaxation oscillator doesnÍt have a feedback system for oscillation.
Question 232,6. Low frequency oscillators have a frequency range of,a) 20 Hz-20K Hz,b) 20 Hz -100k Hz,c) 1 Hz -20k Hz,d) 50 Hz -100k Hz,b,"Explanation: Low frequency oscillators are also called Audio frequency oscillators. It operates in low frequencies, that is from 20Hz to 100-200KHz."
Question 233,7. High frequency oscillators have a frequency range of,a) 300K Hz-2G Hz,b) 100k Hz-500k Hz,c) 8k Hz-800K Hz,d) 4K Hz-1G Hz,a,Explanation: High frequency oscillators are also called Radio frequency oscillators. It has a range of 300KHz to several megahertz.
Question 234,8. Which of the following oscillator cannot be used in low frequency oscillations?,a) Wein bridge oscillators,b) RC phase shift oscillators,c) Colpitts oscillators,d) RC oscillators,c,Explanation: Since Colpitts oscillator is an LC oscillator it cannot be used as a low frequency oscillator.
Question 235,9. Which of the following oscillator is will give most stable output oscillation frequency?,a) Colpitts oscillator,b) Clapp oscillator,c) Wein bridge oscillator,d) Crystal oscillator,d,Explanation: Crystal oscillator gives most stable oscillation.
Question 236,10. Relaxation oscillators are also known as,a) Multivibrator,b) Phase shift oscillators,c) Blocking oscillators,d) Saw tooth generator,a,Explanation: Relaxation oscillators are also called as multivibrators.
Question 237,1. RC phase shift oscillators contains a minimum of _________ Phase shift network.,a) 1,b) 2,c) 3,d) 0,c,Explanation: RC phase shift oscillator contains a minimum of three phase shift network. There is can be also four and it increases stability of oscillation.
Question 238,2. One phase shift network of an RC phase shift oscillator contain __________ capacitor,a) 1,b) 2,c) 3,d) 0,a,Explanation: One phase shift network of an RC phase shift oscillator contains one capacitor and one resistor.
Question 239,3. One phase shift network of an RC phase contain _________ inductor,a) 1,b) 2,c) 3,d) 0,d,Explanation: One phase shift network of an RC phase shift oscillator contains one capacitor and one resistor. There is no need of an inductor.
Question 240,4. One phase shift network of an RC phase contain __________ resistor,a) 1,b) 2,c) 3,d) 0,a,Explanation: One phase shift network of an RC phase shift oscillator contains one capacitor and one resistor. 
Question 241,5. Phase shift provided by one phase shift network in RC phase shift oscillator in 3 stage is,a) 180 degrees,b) 60 degrees,c) 120 degrees,d) 90 degrees,b,Explanation: Phase shift provided by one phase shift oscillator in RC phase shift oscillator in 3 stage is 60 degrees. It is 180/number of stages.
Question 242,6. Total phase shift provided by all phase shift networks in RC phase shift oscillator,a) 180 degrees,b) 60 degrees,c) 120 degrees,d) 360 degrees,a,Explanation: To satisfy BarkhausenÍs criteria total phase shift should be 360 degrees. 180 degrees is produced by amplifier and rest by phase shift network even it is three stage or four stage.
Question 243,7. The phase shift network will produce a phase shift of 180 degrees at,a) Three different frequencies,b) One frequency,c) Two different frequencies,d) Infinitely many frequencies,b,Explanation: The phase shift oscillator will produce a phase shift of 180 degrees only  at a particular frequency by which it is meant to oscillate.
Question 244,8. Which of the following is not a reason for beginning oscillations in RC phase shift oscillator?,a) Phase shift network,b) Noise inherent in transistor,c) Minor variations in the voltage DC source,d) None of the mentioned,a,Explanation: Phase shift network doesnÍt initialize the oscillation it just phase shift a given frequency. Oscillation will start by noise inherent of transistor or by minor voltage variations in DC source.
Question 245,"9. Amplifier gain for RC phase shift oscillation, to obey BarkhausenÍs criteria should be minimum of",a) 43,b) 4,c) 10,d) 29,d,Explanation: Amplifier gain should be minimum of 29 or else A_ will be less than one.
Question 246,10. Phase shift provided by one phase shift network in RC phase shift network in 4-stage will be,a) 180 degrees,b) 45 degrees,c) 60 degrees,d) 90 degrees,b,Explanation: Phase shift provided by one phase shift oscillator in RC phase shift oscillator in 4 stage is 45degrees. It is 180/number of stages.
Question 247,11. Frequency of oscillation for three section RC phase shift network is given by,a) 1/(_Ì6 RC),b) 2/(_Ì6 RC),c) 1/(2_Ì6 RC),d) 1/(2Ì6 RC),c,"Explanation: The frequency of oscillation is given by the equation 1/(2_Ì6 RC). It can be reduced as0.65/RC."
Question 248,12. Distortion level in the output of RC phase shift network will be less than,a) 1%,b) 2%,c) 5%,d) 10%,c,Explanation: Distortion in output of phase shift oscillator is less 5%.
Question 249,13. Which of the following is not true for an RC phase shift oscillator?,a) Not Bulky,b) Less costly,c) Effective for oscillation less than 10KHz,d) Pure sine wave output is possible,d,Explanation: Since only one frequency can fulfill barkhausenÍs criteria requirement positive feedback occurs only for one frequency. Hence pure sine wave is not possible.
Question 250,14. The feedback factor for RC phase shift oscillator is,a) 1/18,b) 1/29,c) 1/11,d) 1/33,b,Explanation: The feedback factor for RC phase shift oscillator is 1/29 and to satisfy BarkhausenÍs criteria amplifier gain should be greater than 29.
Question 251,"15. What will be oscillator frequency, if phase shift network of RC phase shift oscillator contains a capacitor of 7nF and a resistance of 10K?",a) 928 Hz,b) 1KHz,c) 1.2KHz,d) 895Hz,a,Explanation: Oscillator frequency can be given by the equation .
Question 252,1. Recommended frequency range of Harley oscillator is,a) 30KHz-30MHz,b) 1KHz-10MHz,c) 2Hz-3MHz,d) 0.5KHz-40MHz,a,Explanation: Recommended frequency range of Hartley oscillator is 30KHz-30MHz. Frequencies higher or lower than this range will cause distortion.
Question 253,2. Lower frequencies are not practically possible in the case of Harley oscillator because of the requirement of low ___________ value.,a) Capacitance,b) Resistance,c) Inductance,d) gain,c,"Explanation: Lower frequencies are theoretically possible in Hartley oscillator however in practice, the achievement of required inductive value is a problem."
Question 254,3. Which type of feedback is used by Hartley oscillator?,a) Voltage series feedback,b) Current series feedback,c) Voltage shunt feedback,d) Current shunt feedback,a,Explanation: The feedback used in Hartley oscillator is Voltage series feedback.
Question 255,4. Which component of Hartley oscillator is used in feedback system?,a) Inductor,b) Resistor,c) Capacitor,d) Transistor,a,Explanation: Center tapped inductors are used in Hartley oscillator to ensure feedback.
Question 256,5. Which of the following network is used to give feedback to transistor of Hartley oscillator?,a) Inductive fixed bias,b) Capacitive fixed bias,c) Inductive voltage divider,d) Capacitive voltage divider,d,Explanation: Inductive voltage divider bias is used in Hartley oscillator.
Question 257,6. How many capacitors are there in the tank circuit of Hartley oscillator,a) 1,b) 2,c) 3,d) 0,a,Explanation: There is only one capacitor is used in the tank circuit of Hartley oscillator.
Question 258,7. How many inductors are there in the tank circuit of Hartley oscillator?,a) 1,b) 2,c) 3,d) 0,b,Explanation: There are two inductors in tank circuit of Hartley oscillator.
Question 259,8 The frequency of Hartley oscillator is expressed as,(Where L is effective inductance and C is the capacitance),a) 1/(4_ÌLC),b) 1/(2_ÌLC),c) 1/(3_ÌLC),b,Explanation: Frequency of Hartley oscillator can be expressed as 1/(2_ÌLC).
Question 260,9. Active element used in Hartley oscillator is,a) Cell,b) Voltage regulator,c) Diode,d) Transistor,d,Explanation: Active element used in Hartley oscillator is Transistor for amplification purposes.
Question 261,10. Hartley oscillator uses which type of feedback,a) Negative feedback,b) Positive feedback,c) No feedback,d) Positive or Negative depends upon frequency,b,Explanation: As normal oscillators Hartley oscillator also uses positive feedback for sustained oscillation.
Question 262,1. If L1 and L2 are the capacitance used in Hartley oscillator the effective capacitance in the equation of frequency calculation is equal to (Without considering mutual index),a) (L1_L2)/(L1+L2),b) L22/(L1+L2),c) L1+L2,d) L1-L2,c,Explanation: Inductance L1 and L2 are series and hence effective capacitance without mutual inductance will be L1+L2.
Question 263,2. Which configuration of transistor amplifier is used for Hartley oscillator?,a) Common emitter amplifier,b) Common collector amplifier,c) Common base amplifier,d) Combination of both common emitter and common collector,a,Explanation: Common emitter transistor configuration is used in Hartley oscillator to ensure good oscillation.
Question 264,3. Phase shift provided by overall tank circuit in Hartley oscillator is,a) 0 degree,b) 90 degree,c) 180 degree,d) -90 degree,c,Explanation: Phase shift provided by tank circuit is 180 degrees to obey BarkhausenÍs criteria for sustained oscillation.
Question 265,4. The gain device in the Hartley oscillator act as a,a) Low pass filter,b) High pass filter,c) Band pass filter,d) Band rejection filter,c,Explanation: The gain device in Hartley oscillator act as a band pass filter.
Question 266,5. The phase difference produced by active element of Hartley oscillator is,a) 0 degree,b) 180 degree,c) 90 degree,d) 120 degree,b,Explanation: The phase difference provided by active element that is transistor is 180 degrees.
Question 267,6. Hartley oscillator make use of ________ amplifiers.,a) Class A,b) Class B,c) Class C,d) Class D,c,Explanation: Hartley oscillator make use of class C amplifiers because it can amplify signals less than 180 degrees and provide output of full cycle.
Question 268,7. The Hartley oscillator is less preferred than due to Colpitts oscillatorÍs performance in,a) All frequency region,b) Mid frequency region,c) High frequency region,d) Low frequency region,c,Explanation: The Hartley oscillator is less preferred than due to Colpitts oscillatorÍs performance in high frequency regions due to stability.
Question 269,8. Example for a self-limiting oscillator is,a) Hartley oscillator,b) Weinbridge Oscillator,c) RC phase shift oscillator,d) Astable multivibrator,a,Explanation: LC oscillators are also called self-limiting oscillators.
Question 270,"9. What will be the oscillator frequency of Hartley oscillator if inductance L1, L2 are equal to 1mH and 2mH respectively and capacitor C is 10nF. (Neglect mutual inductance)",a) 50KHz,b) 57KHz,c) 40KHz,d) 1MHz,b,"Explanation: L1= 1mH	         L2 = 2mHEffective inductance L = L1+L2 = 1+2 = 3mH  	         C = 10_FOscillator frequency ."
Question 271,1. Which type of feedback is used by Colpitts oscillator?,a) Voltage series feedback,b) Current series feedback,c) Voltage shunt feedback,d) Current shunt feedback,a,Explanation: Voltage series feedback is used in Colpitts oscillator. In voltage series feedback a part of output voltage is fed back to input.
Question 272,2. Which component of Colpitts oscillator is used in feedback system?,a) Inductor,b) Resistor,c) Capacitor,d) Transistor,a,Explanation: Capacitor with a center tap is used in feedback system of Colpitts oscillator.
Question 273,3. Which of the following network is used to give feedback to transistor?,a) Inductive fixed bias,b) Capacitive fixed bias,c) Inductive voltage divider,d) Capacitive voltage divider,d,Explanation: Capacitive voltage divider network is used for giving positive feedback in Colpitts oscillator.
Question 274,4. How many capacitors are there in the tank circuit of Colpitts oscillator,a) 1,b) 2,c) 3,d) 0,b,Explanation: There are two capacitors in the tank circuit of Colpitts oscillator and it is given for voltage division.
Question 275,5. How many inductors are there in the tank circuit?,a) 1,b) 2,c) 3,d) 0,a,Explanation: There are one inductor in the tank circuit of Colpitts oscillator and it is given for oscillation.
Question 276,6. Capacitive circuit configuration in Colpitts oscillator improves _____________,a) Bulkiness,b) Frequency stability,c) Impedance,d) Appearance,b,Explanation: Capacitive circuit in the colpitts oscillator improves frequency stability of oscillator.
Question 277,7. Active element used in Colpitts oscillator is,a) Cell,b) Voltage regulator,c) Diode,d) Transistor,d,Explanation: The active element used in Colpitts oscillator is transistor and it is used for amplification of weak oscillator signals.
Question 278,8. RFC choke present in Collpitts oscillatory circuit is for,a) High reactance to oscillation,b) Low reactance to oscillation,c) Variable reactance to oscillation,d) Biasing to oscillation,a,Explanation: RFC choke present in Colpitts oscillator is to provide high reactance to AC oscillation and low reactance to DC supply to improve performance.
Question 279,9. RFC choke is placed in Colpitts oscillator instead of resistor is to provide,a) High impedance to DC,b) High resistance to DC,c) Low resistance to DC,d) Less bulkiness,c,Explanation: RFC choke present in Colpitts oscillator is to provide high reactance to AC oscillation and low reactance to DC supply to improve performance. If resistor is used there will be some power loss in DC biasing which is unnecessary.
Question 280,10. Resistors are provided in Colpitts circuit is to,a) Provide high impedance to oscillation,b) Bias transistor,c) Provide stability for tank circuit,d) increase impedance for oscillation,b,Explanation: Resistors are provided in Colpitts oscillator to bias transistor to its DC operating point.
Question 281,1. The frequency of Colpitts oscillator is expressed as,(Where L is inductance and C is the effective capacitance),a) 1/(4_ÌLC),b) 1/(2_ÌLC),c) 1/(3_ÌLC),b,Explanation: The frequency of colpitts oscillator is expressed as 1/(2_ÌLC) where L is inductance and C is effective capacitance.
Question 282,2. Colpitts oscillator uses which type of feedback,a) Negative feedback,b) Positive feedback,c) No feedback,d) Positive or Negative depends upon frequency,b,Explanation: Colpitts oscillator as normal oscillator uses positive feedback for oscillation to satisfy BarkhausenÍs criteria.
Question 283,3. To ensure constant feedback which method is used in Colpitts oscillator,a) Gang tuning,b) Using same capacitor,c) No method is used,d) Voltage divider always gives constant feedback,a,Explanation: To ensure constant feedback gang tuning is used in Colpitts oscillator.
Question 284,4. If C1 and C2 are the capacitance used in Colpitts oscillator the effective capacitance in the equation of frequency calculation is equal to,a) (__C1_C2)/(C1+C2),b) 3 (C1_C2)/(C1+C2),c) (C1_C2)/(2_(C1+C2)),d) (C1_C2)/(C1+C2),d,Explanation: In the tank circuit of Colpitts oscillator there are two capacitors connected in series and hence effective capacitance is (C1_C2)/(C1+C2).
Question 285,5. Which configuration of transistor amplifier is used for Colpitts oscillator?,a) Common emitter amplifier,b) Common collector amplifier,c) Common base amplifier,d) Combination of both common emitter and common collector,a,Explanation: Common emitter configuration is used for amplifying distorted oscillatory signal to a perfect oscillation.
Question 286,6. Phase shift provided by overall tank circuit is,a) 0 degree,b) 90 degree,c) 180 degree,d) -90 degree,c,Explanation: The overall phase shift provided by tank circuit is 180 degrees. Since active element produces a phase shift of 180 degrees the tank circuit should create 180 degrees to obey BarkhausenÍs criteria.
Question 287,7. The gain device in the colpitts oscillator act as a,a) Low pass filter,b) High pass filter,c) Band pass filter,d) Band rejection filter,c,Explanation: The gain device in Colpitts oscillator act as a band pass filter and thus limits frequency of oscillation to a certain range.
Question 288,8. Which of the following equation gives amplitude of oscillation in Colpitts oscillator using describing function method? (Where Ic is the is the bias current RL is the load resistor and C1 & C2 are the upper and lower capacitance of voltage divider bias),a) 2ICRL/C1+C2,b) 2ICC2/C1+C2,c) 2ICRL C2/C1,d) 2ICRL C2/C1+C2,d,"Explanation: Amplitude of oscillation in Colpitts oscillator using describing function method is egual toV=(2IC RL C2)/C1."
Question 289,"9. The improvement of Colpitts oscillator over Hately oscillator is, Colpitts oscillatorÍs performance in",a) All frequency region,b) Mid frequency region,c) High frequency region,d) Low frequency region,c,Explanation: Colpitts oscillator shows better frequency stability in high frequencies than Hartley oscillator.
Question 290,10. Colpitts oscillator provides more performance than Hartley oscillator because of its ________ elements,a) Capacitive,b) Resistive,c) Inductive,d) Active,a,Explanation: Colpitts oscillator provide more performance than Hartley oscillator because of its capacitive feedback elements.
Question 291,1. Which of the following is not a characteristics of crystal oscillator?,a) Highly stable with time,b) Highly stable with temperature,c) Highly selective,d) Frequency depends external resistors and capacitors,d,"Explanation: The crystal oscillator is highly stable with time, highly stable with temperature, highly selective. The frequency of crystal is a constant regardless of output circuits."
Question 292,2. Equivalence circuit of crystal contains,a) Two inductors and two capacitors,b) One inductors and two capacitors,c) Two inductors and one capacitors,d) One inductors and one capacitors,b,Explanation: There is One inductor two capacitor and one resistor in equivalent circuit of crystal oscillator. Values of these components determines the resonance frequency of oscillation.
Question 293,3. The parallel capacitance in the equivalent circuit of crystal oscillator represents __________,a) Inter electrode capacitance,b) Compliance,c) Viscous factor,d) Mass,a,"Explanation: The parallel capacitor of the equivalent circuit of crystal oscillator constitute for electrostatic capacitance between two parallel plates of crystal. That is, it is inter electrode capacitance."
Question 294,4. The inductance in the equivalent circuit of crystal oscillator represents __________,a) Inter electrode capacitance,b) Compliance,c) Viscous factor,d) Mass,d,Explanation: Inductance of the crystal oscillator physically refer to mass of the oscillator.
Question 295,5. The series capacitance in the equivalent circuit of crystal oscillator represents __________,a) Inter electrode capacitance,b) Compliance,c) Viscous factor,d) Mass,b,Explanation: Series capacitance of oscillator is physically representing the complaints of oscillator.
Question 296,6. The resistance in the equivalent circuit of crystal oscillator represents __________,a) Inter electrode capacitance,b) Compliance,c) Viscous factor,d) Mass,c,Explanation: Resistance in the equivalence circuit of the crystal oscillator physically refers to viscous factor of the crystal.
Question 297,7. When frequency of oscillation of a crystal oscillator becomes parallel resonance frequency reactance of crystal oscillator becomes,a) Zero,b) Infinity,c) Unpredictable,d) Unity,b,Explanation: When resonance frequency of oscillator becomes parallel resonance frequency the impedance of the oscillator becomes infinity.
Question 298,8. When frequency of oscillation of circuit is less than series resonance frequency wS crystal oscillator act as,a) Inductor,b) Capacitor,c) Resistor,d) Transistor,b,Explanation: When the frequency of oscillation of crystal becomes less than that of wS the oscillator becomes capacitive and in between wS and wP it becomes inductive.
Question 299,9. The reactance of crystal oscillator will be inductive if oscillator operating frequency is,a) Greater than parallel resonance frequency,b) Less than series resonance frequency,c) In between parallel resonance frequency and series resonance frequency,d) Greater than series resonance frequency,c,Explanation: When the frequency of oscillation of crystal becomes less than that of wS the oscillator becomes capacitive and in between wS and wP it becomes inductive.
Question 300,10. The crystal can be used to replace inductor in,a) RC phaseshift oscillator oscillator,b) Colpitts oscillator,c) Clapp oscillator,d) Weinbridge oscillator,b,Explanation: Crystal oscillator operating between wS and wP is inductive and hence we can replace it with inductor in colpitts oscillator.
Question 301,1. Which of the following effect illustrate basic working of a quartz crystal oscillator?,a) Photovoltaic effect,b) Piezo electric effect,c) Electro-magnetic effect,d) Electron excitation effect,b,"Explanation: When a voltage source is applied to a quartz crystal, it begins to produce a characteristic known as the Piezo electric effect. It is a property of a crystal by which an electrical charge produces a mechanical force by changing the shape of the crystal and vice versa, a mechanical force applied to the crystal produces an electrical charge."
Question 302,2. Compared to ceramic oscillator crystal oscillators are,a) Less reliable,b) Less costly,c) More accurate,d) They are same,c,Explanation: None.
Question 303,3. For critical application quartz oscillator is usually contained in container called,a) Crystal oven,b) Crystal case,c) Silicon container,d) Crystal container,a,"Explanation:  For critical applications the quartz oscillator is mounted in a temperature-controlled container. It is called a crystal oven, and can also be mounted on shock absorbers to prevent perturbation."
Question 304,4. Crystal frequency characteristics depends on,a) Inductive reactance connected to crystal,b) Capacitive reactance connected to crystal,c) Shape of crystal,d) All of the above,c,Explanation: The crystal frequency will only depend on internal characteristics of the crystal and hence it depends on shape or ÍcutÍ of the crystal.
Question 305,"5. The crystal resonator frequency will change according to operating time, this phenomenon is termed as",a) Magnus effect,b) Retrace,c) Aging,d) MooreÍs effect,c,"Explanation: The crystal resonator frequency will change according to operating time, this phenomenon is termed as aging."
Question 306,6. The frequency variation error occurred when crystal is re-powered after several hours is termed as,a) Magnus effect,b) Retrace,c) Aging,d) MooreÍs effect,b,"Explanation: When power is removed from an oscillator for several hours, then re-applied on it again, the frequency of this oscillator will stabilize at a slightly different value. This frequency variation error is called retrace error."
Question 307,7. Measure of sensitivity of crystal oscillator output frequency to supply voltage is called,a) Frequency pulling,b) Frequency ratio,c) Output ratio,d) Frequency pushing,d,"Explanation: Measure of sensitivity of crystal oscillator output frequency to supply voltage is calledFrequency pulling. It is represented in MHz/V."
Question 308,8. The measure of frequency change due to non- ideal load is called,a) Frequency pulling,b) Frequency ratio,c) Output ratio,d) Frequency pushing,a,Explanation: The measure of frequency change due to non- ideal load is called frequency pulling.
Question 309,9. Which of the following parameter refer maximum available tuning voltage to the required tuning-frequency range,a) Oscillator turning port noise,b) Oscillator reference noise,c) Power supply noise,d) Vibration induced noise,a,"Explanation: maximum available tuning voltage to the required tuning-frequency rangeIs indicated by Oscillator turning port noise."
Question 310,10. Which of the following noise is caused due to sensitivity to acceleration of crystal,a) Oscillator reference noise,b) Oscillator turning port noise,c) Power supply noise,d) Vibration induced noise,d,Explanation: Vibration induced noise caused due to sensitivity to acceleration of crystal.
Question 311,1. Clapp oscillator is an,a) LC oscillator,b) RC oscillator,c) RL oscillator,d) Crystal oscillator,a,Explanation: Clapp oscillator is a colpitts oscillator which has an extra capacitor series with an inductor. Hence it is an LC oscillator.
Question 312,2. Which type of feedback is used in clapp oscillator?,a) Positive feedback,b) Negative feedback,c) No feedback is used,d) Both positive and negative feedback,a,Explanation: Positive type of feedback is used in clap oscillator.
Question 313,3. When constructing variable frequency oscillator among clapp oscillator and colpitts oscillator which one is preferred?,a) Colpitts oscillator,b) Clapp oscillator,c) Both of them have equal preference,d) None of them preffered,a,"Explanation: In clap capacitor, the stray capacitance has no effect in the third capacitor. So oscillator frequency is more stable and accurate. Hence when constructing variable frequency oscillator clap oscillators are preffered."
