Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation,,,,,,,,,,,,,,,,,,,
Question 231,7. Which of the following is open standard for storing a system image ?,a) OVF,b) PPF,c) VOF,d) Compliance,a,Explanation: OVF stands for pen Virtualization Format.,,,,,,,,,,,,,,,,,,,
Question 232,8. _________ is used by Amazon Web Services to store copies of a virtual machine.,a) AMI,b) EMI,c) IMI,d) Application services,a,Explanation: AMI stands for Amazon Machine Image.,,,,,,,,,,,,,,,,,,,
Question 233,9. AMI imaging service is provided by Amazon for :,a) private use,b) public use,c) pay-per-use,d) all of the mentioned,d,"Explanation: An AMI can be for public use under a free distribution license, for pay-per-use with operating systems such as Windows, or shared by an EC2 user with other users who are given the privilege of access.",,,,,,,,,,,,,,,,,,,
Question 234,10. Which of the following runs on Xen Hypervisor ?,a) Azure,b) AWS EC2,c) AWS EC3,d) All of the mentioned,b,Explanation: The term virtual appliance is meant to differentiate the software image from an operating virtual machine.,,,,,,,,,,,,,,,,,,,
Question 235,1. Which of the following vendor is offering optimization appliances for VMware infrastructure?,a) Expand Networks,b) Certeon,c) Replify,d) None of the mentioned,b,Explanation: Most virtual appliances are used to run a single application and are configurable from a Web page.,,,,,,,,,,,,,,,,,,,
Question 236,2. Point out the correct statement :,a) Virtual appliances are a relatively new paradigm for application deployment,b) External network virtualization cannot be done using network switches and VLAN software,c) All imaging programs can take snapshots of systems,d) All of the mentioned,a,Explanation: Cloud computing is the major reason for the interest in them and for their adoption.,,,,,,,,,,,,,,,,,,,
Question 237,3. Simple Cloud API is useful for applications written in :,a) PHP,b) Python,c) Scala,d) None of the mentioned,a,Explanation: Other methods may be needed to make applications easily portable.,,,,,,,,,,,,,,,,,,,
Question 238,4. The __________ solution creates a virtual application appliance as an architectural layer between the Windows or the UNIX operating system and applications.,a) AppOne,b) AppZero,c) AppSoft,d) None of the mentioned,b,Explanation: The running application in AppZero changes none of the registry entries or any of the files on the Windows Server.,,,,,,,,,,,,,,,,,,,
Question 239,5. Point out the wrong statement :,a) Cloud computing applications have the ability to run on virtual systems,"b) Systems (VMs running applications), storage, and network assets cannot be virtualized",c) Applications that run in data centers are captive to the operating systems and hardware platforms that they run on,d) All of the mentioned,b,Explanation: VMs running applications have sufficient flexibility to give acceptable distributed WAN application performance.,,,,,,,,,,,,,,,,,,,
Question 240,6. _______ creates a container that encapsulates the application and all the application’s dependencies within a set of files.,a) VAA,b) VAS,c) VSA,d) None of the mentioned,a,"Explanation: Dependencies include DLL, service settings, necessary configuration files, registry entries, and machine and network settings.",,,,,,,,,,,,,,,,,,,
Question 241,"7. Which of the following layer serves as the mediator for file I/O, the memory I/O, and application calls and response to DLLs?",a) application,b) client,c) virtualization,d) None of the mentioned,c,Explanation: The running application in AppZero changes none of the registry entries or any of the files on the Windows Server.,,,,,,,,,,,,,,,,,,,
Question 242,8. Which of the following application delivery platform’s main focus is on desktop installations?,a) Microsoft App-V,b) Microsoft Hyper,c) Amazon EC2,d) All of the mentioned,a,Explanation: Installations can be done over the network after the AppZero application appliance is installed.,,,,,,,,,,,,,,,,,,,
Question 243,9. Which of the following is the most widely used technique for abstraction?,a) Load balancing,b) Load scheduling,c) Load scaling,d) All of the mentioned,a,"Explanation: With load balancing, system requests are directed to appropriate systems on demand.",,,,,,,,,,,,,,,,,,,
Question 244,10. Which of the following is a potent cloud-building technology?,a) vSphere,b) HyperCube,c) vCube,d) All of the mentioned,a,"Explanation: vSphere can create virtual machines, virtual datastores, and virtual networks, and move these resources about while the system is active.",,,,,,,,,,,,,,,,,,,
Question 245,2. Point out the correct statement :,a) Capacity planning seeks to match demand to available resources,"b) Capacity planning examines what systems are in place, measures their performance, and determines patterns in usage that enables the planner to predict demand",c) Resources are provisioned and allocated to meet demand,d) All of the mentioned,d,Explanation: Performance tuning and optimization is not a primary goal of capacity planners.,,,,,,,,,,,,,,,,,,,
Question 246,3. What is the relation of capacity attribute to performance ?,a) same,b) different,c) similar,d) None of the mentioned,b,"Explanation: With capacity, you are concerned about how much work a system can do, whereas with performance, you are concerned with the rate at which work gets done.",,,,,,,,,,,,,,,,,,,
Question 247,4. What does L in LAMP stands for ?,a) Lamp,b) Linux,c) Lone,d) None of the mentioned,b,Explanation: LAMP stacks based on Red Hat Linux are more common than the other distributions.,,,,,,,,,,,,,,,,,,,
Question 248,5. Point out the wrong statement :,a) Network capacity is one of the easiest factors to determine,"b) A system uses resources to satisfy cloud computing demands that include processor, memory, storage, and network capacity",c) Scaling a system can be done by scaling up vertically to more powerful systems,d) All of the mentioned,a,"Explanation: Network performance is affected by network I/O at the server, network traffic from the cloud to Internet service providers, and over the last mile from ISPs to homes and offices.",,,,,,,,,,,,,,,,,,,
Question 249,6. Which of the following is one of the major categories of Amazon Machine Instances that you can create on the Amazon Web Service ?,a) WAMP,b) XAMPP,c) LAMP,d) None of the mentioned,c,"Explanation: On Amazon Web Services, machine instances are offered for both Red Hat Linux and for Ubuntu.",,,,,,,,,,,,,,,,,,,
Question 250,7. Which of the following is used as substitute for PHP as scripting language in LAMP ?,a) Scala,b) Perl,c) Ruby,d) None of the mentioned,b,Explanation: Either Perl or Python is often substituted for PHP as the scripting language used.,,,,,,,,,,,,,,,,,,,
Question 251,8. Which of the following RDBMS is used by LAMP ?,a) SQL Server,b) DB2,c) MySQL,d) All of the mentioned,c,"Explanation: MySQL is the database server developed by the Swedish company MySQL AB, owned by Oracle Corporation through its acquisition of Sun Microsystems.",,,,,,,,,,,,,,,,,,,
Question 252,9. Which of the following is critical step in capacity planning ?,a) Predict the future based on historical trends and other factors,b) Load the system until it is overloaded,c) Deploy or tear down resources to meet your predictions,d) All of the mentioned,b,Explanation: Knowing when systems fail under load and what factor(s) is responsible for the failure is the critical step in capacity planning.,,,,,,,,,,,,,,,,,,,
Question 253,10. Which of the following is hardest factor to determine ?,a) Network performance,b) Network capacity,c) Network delay,d) All of the mentioned,b,Explanation: It is the goal of a capacity planner to identify the critical resource that has this resource ceiling and add more resources to move the bottleneck to higher levels of demand.,,,,,,,,,,,,,,,,,,,
Question 254,2. Point out the correct statement :,"a) Page views or hits on the Web site, as measured in transactions per second","b) Transactions completed on the database server, as measured by hits per second",c) Performance logs are a primary source of data that everyone should have available for planning purposes,d) All of the mentioned,c,Explanation: There are two important overall workload metrics in the LAMP system.,,,,,,,,,,,,,,,,,,,
Question 255,3. Which of the following command is used to display the level of CPU activity in Linux ?,a) sep,b) sav,c) sar,d) None of the mentioned,c,Explanation: sar is installed in Linux as part of the sysstat package.,,,,,,,,,,,,,,,,,,,
Question 256,4. Which of the following tool captures time-dependent performance data from resources such as a CPU load ?,a) RBTool,b) RRDTool,c) Perfmon,d) None of the mentioned,b,Explanation: RRDTool stands for  Round Robin Database tool.,,,,,,,,,,,,,,,,,,,
Question 257,5. Point out the wrong statement :,a) The total workload might be served by a single server instance in the cloud,b) Performance logs are the only source of performance measurements,"c) The amount of resources to be deployed depends upon the characterization of the Web servers involved, their potential utilization rates, and other factors",d) All of the mentioned,b,Explanation: Performance logs are not the only source of performance measurements.,,,,,,,,,,,,,,,,,,,
Question 258,6. Which of the following tool is used for Web site monitoring service in LAMP ?,a) Alertra,b) Cacti,c) Collectd,d) None of the mentioned,a,Explanation: Cacti is RRDTool graphing module.,,,,,,,,,,,,,,,,,,,
Question 259,7. Which of the following is used as Open source distributed monitoring system ?,a) Dstat,b) GraphClick,c) Ganglia,d) None of the mentioned,c,Explanation: GraphClick is a digitizer that can create a graph from an image.,,,,,,,,,,,,,,,,,,,
Question 260,8. Which of the following is not a commercial third-party Web site performance monitor ?,a) Keynote,b) Munin,c) Gomez,d) All of the mentioned,b,Explanation: Munin is open source network resource monitoring tool.,,,,,,,,,,,,,,,,,,,
Question 261,9. Which of the following is available as both open source and commercial version ?,a) Zabbix,b) ZenOSS,c) SiteUpTime,d) All of the mentioned,b,Explanation: ZenOSS is used to monitor operations.,,,,,,,,,,,,,,,,,,,
Question 262,10. Which of the following testing seeks to answer maximum load that my current system can support ?,a) Load,b) Security,c) Navigation,d) All of the mentioned,a,"Explanation: Load testing is also referred to as performance testing, reliability testing, stress testing, and volume testing.",,,,,,,,,,,,,,,,,,,
Question 263,1. Which of the following resource(s) represents the bottleneck in the current system that limits the system’s performance ?,a) ROM,b) Resource ceiling,c) Resource Parameters,d) All of the mentioned,b,"Explanation: Depending upon a server’s configuration, any resource can have a bottleneck removed, and the resource ceiling then passes onto another resource.",,,,,,,,,,,,,,,,,,,
Question 264,2. Point out the wrong statement :,a) Load testing software is a large product category with software and hardware products,b) Cloud computing offers virtual solutions,c) Load testing is useful in testing the performance of only Web servers,d) All of the mentioned,c,"Explanation: Load testing is useful in testing the performance of not only Web servers, but also application servers, database servers, network throughput, load balancing servers, and applications that rely on client-side processing.",,,,,,,,,,,,,,,,,,,
Question 265,3. Which of the following application can replay requests to Web servers ?,a) HTTPerf,b) Perfmon,c) Autobench,d) None of the mentioned,a,"Explanation: This tool run the requests from a single client, which can be a resource limitation of its own.",,,,,,,,,,,,,,,,,,,
Question 266,4. Which of the following is often a bottleneck in Web servers ?,a) Network I/O,b) RAM,c) Disk,d) None of the mentioned,a,"Explanation: Network I/O (D) reaches its maximum 100-percent utilization at about 50 percent of the tested load, and this factor is the current system resource ceiling.",,,,,,,,,,,,,,,,,,,
Question 267,5. Point out the correct statement :,a) Most load balancers allow you to weight the requests going to a specific server with the goal of serving more requests to less powerful systems and fewer requests to more powerful systems,b) Most load balancers allow you to weight the requests going to a specific server with the goal of serving more requests to more powerful systems and fewer requests to less powerful systems,c) Most load balancers allow you to weight the requests going to a specific server with the goal of serving fewer requests to more powerful systems and more requests to less powerful systems,d) All of the mentioned,b,"Explanation: When you have multiple virtual servers that are part of a server farm and have a load balancer in front of them, you can use your load balancer to test your servers’ resource ceilings.",,,,,,,,,,,,,,,,,,,
Question 268,8. What does WnsP represents in the following formula ?,WT = _(WSnP WSnV),a) workload of the virtual servers,b) workload of your physical server,c) sum over all the Web servers,b,"Explanation: In this equation, WSnP represents the workload of your physical server(s) and WSnV is the workload of the virtual servers (cloud-based server instances) of your infrastructure.",,,,,,,,,,,,,,,,,,,
Question 269,9. A master/slave MySQL replication architectural scheme is used for ________ database applications.,a) medium size,b) large,c) smaller,d) all of the mentioned,c,"Explanation: As sites grow and the number of transactions increases, developers tend to deploy databases in a federated architecture.",,,,,,,,,,,,,,,,,,,
Question 270,10. Which of the following performance analysis tool lets you save its state for Windows ?,a) MMS,b) CloudWatch,c) Microsoft Management Console,d) All of the mentioned,c,"Explanation: In the Amazon Web Service, the statistics monitoring tool is called Amazon CloudWatch, and you can create a performance monitoring console from the statistics it collects.",,,,,,,,,,,,,,,,,,,
Question 271,2. Point out the correct statement :,a) Use of different machine instance sizes is an attempt to create standard servers,b) Reducing the variability between servers makes it easier to troubleshoot problems and simpler to deploy and configure new systems,"c) A server with the same set of software, system configuration, and hardware should perform similarly if given the same role in an infrastructure",d) All of the mentioned,d,"Explanation: As much as possible, you also should assign servers standardized roles and populate those servers with identical services.",,,,,,,,,,,,,,,,,,,
Question 272,3. Which of the following instance has 68.4GB of memory and 26 EC2 Compute Units ?,a) High-Memory Quadruple Extra Large Instance,b) Small Instance,c) Micro Instance,d) High-CPU Extra Large Instance,a,Explanation: I/O Performance is high and API name is m2.4xlarge.,,,,,,,,,,,,,,,,,,,
Question 273,4. Which of the following instance is used by default in AMI ?,a) High-Memory Quadruple Extra Large Instance,b) Small Instance,c) Micro Instance,d) High-CPU Extra Large Instance,b,Explanation: Small Instance has 1.7GB memory and 1 EC2 compute unit.,,,,,,,,,,,,,,,,,,,
Question 274,5. Point out the wrong statement :,"a) In practice, there is less performance variability in cloud machine instances",b) Capacity planning seeks to compare the capability of one system against another system,c) Capacity planning provides the service with the best operational parameters at the lowest cost,d) All of the mentioned,a,Explanation: This variability may be due to your machine instances or storage buckets being moved from one system to another system.,,,,,,,,,,,,,,,,,,,
Question 275,6. Which of the following graph correctly describes relative costs and efficiencies of different physical and virtual servers ?,a) ,b) ,c) ,d) None of the mentioned,a,Explanation: This type of graph allows you to add the appropriate server type to your infrastructure while performing a cost analysis of the deployment.,,,,,,,,,,,,,,,,,,,
Question 276,7. Which of the following instance has API name: m2.4xlarge ?,a) High-Memory Quadruple Extra Large Instance,b) Small Instance,c) Micro Instance,d) High-CPU Extra Large Instance,d,Explanation: High-CPU Extra Large Instance has 7GB of memory and 20 EC2 Compute Units.,,,,,,,,,,,,,,,,,,,
Question 277,8. EC2 Compute Unit is the equivalent of a _____ GHz 2007 Opteron or 2007 Xeon processor.,a) 1,b) 2,c) 4,d) All of the mentioned,a,Explanation: We may add or substitute measures that go into the definition of an EC2 Compute Unit.,,,,,,,,,,,,,,,,,,,
Question 278,9. Which of the following instance has lowest performance in AMI ?,a) Auto Bench,b) Auto Scaling,c) Auto Performance,d) All of the mentioned,b,Explanation: Not all cloud computing infrastructures automatically manage your capacity.,,,,,,,,,,,,,,,,,,,
Question 279,10. Which of the following cloud computing infrastructures automatically manage your capacity ?,a) High-Memory Quadruple Extra Large Instance,b) Small Instance,c) High-CPU Extra Large Instance,d) All of the mentioned,b,Explanation: API name for small instance is m1.small.,,,,,,,,,,,,,,,,,,,
Question 280,1. How many aspects needs to be considered while assessing network capacity ?,a) one,b) two,c) three,d) all of the mentioned,c,Explanation: There are three aspects to assessing network capacity.,,,,,,,,,,,,,,,,,,,
Question 281,2. Point out the correct statement :,"a) For a cloud-based virtual computer, the network interface may be a highly variable resource",b) Increasing the variability between servers makes it easier to troubleshoot problems and simpler to deploy and configure new systems,"c) A server with the different set of software, system configuration, and hardware should perform similarly if given the same role in an infrastructure",d) All of the mentioned,a,Explanation: Cloud vendor moves virtual systems around on physical systems or reconfigure its network pathways on the fly to accommodate demand.,,,,,,,,,,,,,,,,,,,
Question 282,3. Which of the following is not the aspect considered for network capacity ?,a) Network traffic from the cloud to the network interface,b) Network traffic to and from the network interface at the server,c) Network traffic from the cloud through your ISP to your local network interface,d) All of the mentioned,d,Explanation: It may be a physical or virtual interface or server.,,,,,,,,,,,,,,,,,,,
Question 283,4. Which of the following utility is used to monitor traffic in Windows ?,a) Microsoft Network Monitor,b) Microsoft Performance Monitor,c) Microsoft Perfmon,d) None of the mentioned,a,"Explanation: To measure network traffic at a server’s network interface, you need to employ network monitor.",,,,,,,,,,,,,,,,,,,
Question 284,5. Point out the wrong statement :,a) Tools are available that can monitor a cloud network’s performance at geographical different points and over different third-party ISP connections,b) Apparent Networks company makes WAN network monitoring software,c) Network Capacity is easy to measure in a reliable way,d) All of the mentioned,c,Explanation: Network Capacity isn’t easy to measure in a reliable way.,,,,,,,,,,,,,,,,,,,
Question 285,6. Which of the following packet sniffer was formerly called Ethereal ?,a) TCPdump,b) Wireshark,c) Ntop,d) None of the mentioned,b,"Explanation: Regardless of which of these tools you use, the statistics function of these tools provides a measurement of network capacity as expressed by throughput.",,,,,,,,,,,,,,,,,,,
Question 286,7. Which of the following factor can be considered to determine WAN Capacity ?,a) Routing and switching protocols,b) Overall system traffic,c) Network interconnect technologies,d) All of the mentioned,d,Explanation: These factors are highly variable and unlike.,,,,,,,,,,,,,,,,,,,
Question 287,8. __________ scaling allows you to use a virtual system to run more virtual machines,a) Horizontal,b) Vertical,c) Out,d) All of the mentioned,b,"Explanation: Vertical Scaling run more daemons on the same machine instance, or take advantage of more RAM (memory) and faster compute times.",,,,,,,,,,,,,,,,,,,
Question 288,9. Which of the following is used to evaluate your own cloud application’s network performance ?,a) Path Cloud,b) PathView Cloud,c) View Cloud,d) All of the mentioned,b,Explanation: It can also create scorecard of a cloud network.,,,,,,,,,,,,,,,,,,,
Question 289,10. Scaling _____ indefinitely leads you to an architecture with a large number of servers.,a) out,b) in,c) vertically,d) all of the mentioned,a,Explanation: Horizontal scaling allows you to run distributed applications more efficiently and is effective in using hardware more efficiently.,,,,,,,,,,,,,,,,,,,
Question 290,1. Application frameworks provide a means for creating ________ hosted applications using IDE.,a) PaaS,b) SaaS,c) CaaS,d) All of the mentioned,b,Explanation: PaaS IDEs run the gamut from a tool that requires a dedicated programming staff to create and run to point-and-click graphical interfaces.,,,,,,,,,,,,,,,,,,,
Question 291,2. Point out the correct statement :,a) Drupal is used in major Web sites and organizes vast amounts of information,b) Fourspace is often associated with blogging tools,"c) FourSquare works with photos, imports information from other social tools, and allows very attractive Web sites to be created by average users",d) All of the mentioned,a,"Explanation: Drupal is extensively used and has broad industry impact, and it is a full-strength developer tool.",,,,,,,,,,,,,,,,,,,
Question 292,3. Which of the following is based on the notion of information management and organization ?,a) CMS,b) DMS,c) MIS,d) All of the mentioned,a,"Explanation: Notion of a Web site as a CMS adds a number of special features to the concept that includes rich user interaction, multiple data sources and extensive customization.",,,,,,,,,,,,,,,,,,,
Question 293,4. Which of the following environment best describes WorkXpress ?,a) 3GL,b) 4GL,c) 5GL,d) None of the mentioned,c,Explanation: 5GL environments have no programming requirement and you can host your application anywhere.,,,,,,,,,,,,,,,,,,,
Question 294,5. Point out the wrong statement related to common characteristics of SOA :,a) They separate data-handling from presentation (user interface),"b) They support the incorporation of business rules, logic, and actions",c) They support packaging and deployment of applications,d) None of the mentioned,d,"Explanation: These services differ in which language they use, support for different rendering technologies, and in other features.",,,,,,,,,,,,,,,,,,,
Question 295,6. Which of the following module feature is provided by Drupal CMS ?,a) Traffic management,b) OpenID authentication,c) User interface creation tools,d) All of the mentioned,d,Explanation: The Drupal core by itself contains a number of modules.,,,,,,,,,,,,,,,,,,,
Question 296,7. Which of the following programming language solves problems by acting on constraints and inputs ?,a) 3GL,b) 4GL,c) 5GL,d) None of the mentioned,c,Explanation: Force.com uses 4GL programming language environment.,,,,,,,,,,,,,,,,,,,
Question 297,8. ___________ PaaS application delivery platform creates SOA applications that work on several different IaaS vendors.,a) AppOne,b) Eccentex AppBase,c) Ez Publish,d) All of the mentioned,b,"Explanation: Eccentex is a Culver City, California, company founded in 2005 that has a PaaS development platform for Web applications.",,,,,,,,,,,,,,,,,,,
Question 298,9. Which of the following AppBase tool allows you to assign access rights to different objects in the system ?,a) Security Roles Management,b) Dashboard Designer,c) Report Builder,d) All of the mentioned,a,"Explanation: Security roles can be assigned in groups without users, and users can be added later as the application is deployed.",,,,,,,,,,,,,,,,,,,
Question 299,2. Point out the correct statement :,a) SquareSpace is used in major Websites and organizes vast amounts of information,b) LongJump creates browser-based Web applications that are database-enabled,c) LongJump extends Python and uses a Model-View-Controller architecture (MVC) for its framework,d) All of the mentioned,b,Explanation: LongJump comes with an Object Model Viewer.,,,,,,,,,,,,,,,,,,,
Question 300,3. Which of the following instrumentation tool displays the real-time parameters of your application in a visual form in AppBase?,a) Security Roles Management,b) Dashboard Designer,c) Report Builder,d) All of the mentioned,b,Explanation: Applications that you create are deployed with the AppBase Application Revision Management console.,,,,,,,,,,,,,,,,,,,
Question 301,"4. Which of the following lets you sort, aggregate, display, and format report information based on the data in your application?",a) Presentation Builder,b) Dashboard Designer,c) Report Builder,d) Business Objects Build,c,Explanation: The applications you create in AppBase may be integrated with Amazon S3 Web Services (storage).,,,,,,,,,,,,,,,,,,,
Question 302,5. Point out the wrong statement:,a) LongJump comes with a security policy engine that has user and group privileges,b) Squarespace lets you create beautiful hosted Websites with a variety of capabilities with visual tools alone,c) LongJump is WYSIWYG editor,d) None of the mentioned,c,Explanation: The applications are built using visual tools and deployed on the hosted infrastructure.,,,,,,,,,,,,,,,,,,,
Question 303,6. Which of the following object database has the ability to create rich data objects and create relationships between them?,a) Presentation Builder,b) Business Objects Build,c) Business Process Designer,d) All of the mentioned,b,Explanation: Presentation builder allows you to drag and drop visual controls for creating Web forms and data entry screens and to include the logic necessary to automate what the user sees.,,,,,,,,,,,,,,,,,,,
Question 304,7. Which of the following technologies are used in LongJump’s PaaS?,a) REST,b) SOAP,c) Java,d) All of the mentioned,d,Explanation: Its development environment is based on Java and uses REST/SOAP APIs.,,,,,,,,,,,,,,,,,,,
Question 305,8. Which of the following is a WYSIWYG web builder?,a) WaveMaker,b) Eccentex AppBase,c) Ez Publish,d) All of the mentioned,a,Explanation: WaveMaker is a visual rapid application development environment for creating Java-based Web and cloud Ajax applications.,,,,,,,,,,,,,,,,,,,
Question 306,9. ___________ tool is used to create business logic for your application.,a) Presentation Builder,b) Business Objects Build,c) Business Process Designer,d) All of the mentioned,c,"Explanation: With it, you can manage workflow, integrate modules, create rules, and validate data.",,,,,,,,,,,,,,,,,,,
Question 307,1. Which of the following algorithm is used by Google to determine the importance of a particular page ?,a) SVD,b) PageRank,c) FastMap,d) All of the mentioned,b,Explanation: Content on pages is scanned up to a certain number of words and placed into an index.,,,,,,,,,,,,,,,,,,,
Question 308,2. Point out the correct statement :,"a) With PaaS, the goal is to create hosted scalable applications that are used in a Software as a Service model",b) Applications built using PaaS tools need to be standards-based,"c) In Wolf, the data and transaction management conforms to the business rules you create",d) All of the mentioned,d,Explanation: Wolf lets you work with Adobe Flash or Flex or with Microsoft Silverlight.,,,,,,,,,,,,,,,,,,,
Question 309,3. Which of the following figure correctly describe major features provided by Google App Engine ?,a) ,b) ,c) ,d) All of the mentioned,d,"Explanation: For an application to run on GAE, it must comply with Google’s platform standards, which narrows the range of applications that can be run and severely limits those applications’ portability.",,,,,,,,,,,,,,,,,,,
Question 310,"4. Based on PageRank algorithm, Google returns __________ for a query that is parsed for its keywords.",a) SEP,b) SAP,c) SERP,d) Business Objects Build,c,Explanation: SERP stands for Search Engine Results Page.,,,,,,,,,,,,,,,,,,,
Question 311,5. Point out the wrong statement:,a) Wolf Frameworks uses a C# engine and supports both Microsoft SQL Server and MySQL database,b) Applications built in Wolf are 50-percent browser-based and support mashable and multisource overlaid content,c) Google applications are cloud-based applications,d) None of the mentioned,b,Explanation: Wolf has architected its platform so applications can be built without the need to write technical code.,,,,,,,,,,,,,,,,,,,
Question 312,6. Which of the following protocol lets a Web site list in an XML file information ?,a) Sitemaps,b) Mashups,c) Hashups,d) All of the mentioned,a,Explanation: Sitemaps can be useful in allowing content that isn’t browsable to be crawled.,,,,,,,,,,,,,,,,,,,
Question 313,7. Which of the following is not provided by “Deep Web” ?,a) Database generated Web pages,b) Private or limited access Web pages,c) Pages without links,d) All of the mentioned,d,Explanation: Online content that isn’t indexed by search engines belongs to what has come to be called the “Deep Web”.,,,,,,,,,,,,,,,,,,,
Question 314,8. Dynamic content presented in Google _______ crawling isn’t normally indexed.,a) AJAX,b) Java,c) Javascript,d) All of the mentioned,a,Explanation: Google now has a procedure that helps the Google engine crawl this information.,,,,,,,,,,,,,,,,,,,
Question 315,9. Which of the following google product sends you periodic email alerts based on your search term ?,a) Alerts,b) Blogger,c) Calendar,d) All of the mentioned,a,"Explanation: By creating a Google Alert, you can get email notifications any time Google finds new results on a topic that interests you.",,,,,,,,,,,,,,,,,,,
Question 316,10. Which of the following is a payment processing system by Google ?,a) Paytm,b) Checkout,c) Code,d) All of the mentioned,b,Explanation: Google Checkout was an online payment processing service provided by Google aimed at simplifying the process of paying for online purchases.,,,,,,,,,,,,,,,,,,,
Question 317,1. Which of the following creates a custom search utility for a particular Web site ?,a) Desktop,b) Directory,c) Custom Search,d) None of the mentioned,c,Explanation: Custom Search lets you programmatically build and manage custom search engines for your site.,,,,,,,,,,,,,,,,,,,
Question 318,2. Point out the correct statement :,a) Yahoo search is the most popular search engine on the Web,b) Google Ad Planner is a free media planning tool that can help you identify websites your audience is likely to visit so you can make better-informed advertising decisions,c) Google AdSense is a free media planning tool that can help you identify websites your audience is likely to visit so you can make better-informed advertising decisions,d) All of the mentioned,b,Explanation: Google search is the most popular search engine on the Web.,,,,,,,,,,,,,,,,,,,
Question 319,3. Which of the following product searches Web by topics ?,a) Desktop,b) Directory,c) Custom Search,d) None of the mentioned,b,Explanation: The Google Web Directory integrates Google’s search technology with OpenDirectoryProject pages to create a tool for finding information on the web.,,,,,,,,,,,,,,,,,,,
Question 320,4. Which of the following is an online atlas and mapping service with mashups ?,a) iGoogle,b) Earth,c) GOOG-411,d) Knol,b,"Explanation: Google Earth lets you fly anywhere on Earth to view satellite imagery, maps, terrain, 3D buildings, from galaxies in outer space to the canyons of the ocean.",,,,,,,,,,,,,,,,,,,
Question 321,5. Point out the wrong statement:,"a) Google Alerts are email updates of the latest relevant Google results (web, news, etc.) based on your choice of query or topic",b) Google Analytics makes it easy to improve your results online,c) Google Base is Google search technology focused on blogs,d) None of the mentioned,c,Explanation: Blog Search is Google search technology focused on blogs.,,,,,,,,,,,,,,,,,,,
Question 322,6. Which of the following indexes content on your local drive for fast searches ?,a) Desktop,b) Code,c) Hash,d) All of the mentioned,a,"Explanation: Google Desktop is a computer program with desktop search capabilities, created by Google for Linux, Apple Mac OS X, and Microsoft Windows systems.",,,,,,,,,,,,,,,,,,,
Question 323,7. Google _______ is collection of applications and utilities under development and testing.,a) Code,b) Labs,c) Hash,d) All of the mentioned,b,Explanation: Google Labs was a page created by Google to demonstrate and test new projects.,,,,,,,,,,,,,,,,,,,
Question 324,8. Which of the following is photo-editing and management software ?,a) iGoogle,b) Earth,c) GOOG-411,d) Picasa,d,Explanation: Organize and edit your photos using Picasa.,,,,,,,,,,,,,,,,,,,
Question 325,9. Which of the following product allows users to create 3D models and share them with others ?,a) Toolbar,b) Blogger,c) SketchUp,d) All of the mentioned,c,Explanation: SketchUp is 3D modeling software that’s easy to learn and incredibly fun to use.,,,,,,,,,,,,,,,,,,,
Question 326,10. Which of the following gives statistical information on different search terms ?,a) Trends,b) Stats,c) Tool,d) All of the mentioned,a,Explanation: Google Trends is a public web facility of Google Inc. based on Google Search.,,,,,,,,,,,,,,,,,,,
Question 327,1. Which of the following is a search service for online retailers that markets their products in their site searches with a number of navigation ?,a) Google Site Search,b) Google Commerce Search,c) Google Search Appliance,d) Google Mini,b,"Explanation: As Google has built out its portfolio, it has released special versions of its products for the enterprise.",,,,,,,,,,,,,,,,,,,
Question 328,2. Point out the correct statement :,a) Google Bookmarks is a detailed 3D model of the human body,b) Google Base is an online service that lets you save your favorite sites and attach labels and comments,c) The Chromium projects include Chromium and Chromium OS,d) All of the mentioned,c,Explanation: Google Chrome Sync is a Google Tool that Syncs your Google Chrome bookmarks across multiple computers.,,,,,,,,,,,,,,,,,,,
Question 329,3. Which of the following can be deployed within an organization to speed up both local (Intranet) and Internet searching ?,a) Google Site Search,b) Google Commerce Search,c) Google Search Appliance,d) Google Mini,c,"Explanation: The three versions of the Google Search Appliance can store an index of up to 300,000 (GB-1001), 10 million (GB-5005), or 30 million (GB-8008) documents.",,,,,,,,,,,,,,,,,,,
Question 330,"4. Which of the following is the smaller version of the GSA that stores 300,000 indexed documents ?",a) Google Site Search,b) Google Big Search,c) Google Search Appliance,d) Google Mini,d,Explanation: Google sells its search engine customized for enterprises under the Google Site Search service banner.,,,,,,,,,,,,,,,,,,,
Question 331,5. Point out the wrong statement:,"a) With Google Custom Search Engine and Subscribed Links, you can create a search engine tailored to your needs",b) Google Currents is a social magazine app by Google,c) Google Correlate is a social magazine app by Google,d) None of the mentioned,c,Explanation: Google Correlate find search patterns that correlate with real-world data.,,,,,,,,,,,,,,,,,,,
Question 332,6. Which of the following is a targeted ad service based on matching advertisers and their keywords to users and their search profiles ?,a) Ads,b) AdSense,c) AdWords,d) All of the mentioned,c,Explanation: This service transformed Google from a competent search engine into an industry giant and is responsible for the majority of Google’s revenue stream.,,,,,,,,,,,,,,,,,,,
Question 333,7. Google __________ is the most widely used Web traffic analysis tool on the Internet.,a) BigAnalytics,b) Analytics,c) Biglytics,d) All of the mentioned,b,Explanation: It is offered as a free service and has been adopted by many Web sites.,,,,,,,,,,,,,,,,,,,
