Question,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 181,"3.The problem-solving agent with several immediate options of unknown value can decide what to do by just examining different possible sequences of actions that lead to states of known value, and then choosing the best sequence. This process of looking for such a sequence is called Search. State True or Falsea) Trueb) FalseView Answer",,,,,a,Explanation: Refer to the definition of problem-solving agent. 
Question 182,4. A search algorithm takes _________ as an input and returns ________ as an output.,"a) Input, output","b) Problem, solution","c) Solution, problem","d) Parameters, sequence of actions",b,Explanation: A search algorithm takes input as a problem and returns a solution to the problem as an output. 
Question 183,5. A problem in a search space is defined by one of these state.,a) Initial state,b) Last state,c) Intermediate state,d) All of the above,a,"Explanation: A problem has four components initial state, goal test, set of actions, path cost. "
Question 184,6. The Set of actions for a problem in a state space is formulated by a ___________,a) Intermediate states,b) Initial state,"c) Successor function, which takes current action and returns next immediate state",d) None of the mentioned,c,"Explanation: The most common formulation for actions uses a successor function. Given a particular state x, SUCCESSOR-FN(x) returns a set of (action, successor) ordered pairs, where each action is one of the legal actions in state x and each successor is a state that can be reached from x by applying the action. "
Question 185,"7. A solution to a problem is a path from the initial state to a goal state. Solution quality is measured by the path cost function, and an optimal solution has the highest path cost among all solutions. State whether true or false.a) Trueb) FalseView Answer",,,,,a,"Explanation: A solution to a problem is a path from the initial state to a goal state. Solution quality is measured by the path cost function, and an optimal solution has the lowest path cost among all solutions. "
Question 186,8. The process of removing detail from a given state representation is called______,a) Extraction,b) Abstraction,c) Information Retrieval,d) Mining of data,b,Explanation: The process of removing detail from a representation is called abstraction. 
Question 187,9. A problem solving approach works well for,a) 8-Puzzle problem,b) 8-queen problem,c) Finding a optimal path from a given source to a destination,d) Mars Hover (Robot Navigation),d,Explanation: Problem-solving approach works well for toy problems and real-world problems. 
Question 188,10. The _______ is a touring problem in which each city must be visited exactly once. The aim is to find the shortest tour.,a) Finding shortest path between a source and a destination,b) Travelling Salesman problem,c) Map coloring problem,d) Depth first search traversal on a given map represented as a graph,b,Explanation: Refer the TSP problem. 
Question 189,11. Web Crawler is a/an,a) Intelligent goal-based agent,b) Problem-solving agent,c) Simple reflex agent,d) Model based agent,a,"Explanation: Web Crawling is type of search for a relevant document from a given seed documents. Focused crawlers exists, helps to improvise the search efficiency. "
Question 190,12. The major component/components for measuring the performance of problem solving,a) Completeness,b) Optimality,c) Time and Space complexity,d) All of the mentioned,d,Explanation: For best performance consideration of all component is necessary. 
Question 191,13. A production rule consists of,a)  A set of Rule,b) A sequence of steps,c) Set of Rule & sequence of steps,d) Arbitrary representation to problem,c,"Explanation: When you are trying to solve a problem, you should design how to get a step-by-step solution with constraints condition to your problem, e.g Chess board problem."
Question 192,14. Which search method takes less memory?,a)  Depth-First Search,b) Breadth-First search,c) Linear Search,d)  Optimal search,a,"Explanation: Depth-First Search takes less memory since only the nodes on the current path are stored, but in Breadth First Search, all of the tree that has generated must be stored. "
Question 193,15. Which is the best way to go for Game playing problem?,a)  Linear approach,b) Heuristic approach (Some knowledge is stored),c)  Random approach,d) An Optimal approach,b,"Explanation: We use a Heuristic approach, as it will find out brute force computation, looking at hundreds of thousands of positions. e.g Chess competition between Human and AI based Computer. "
Question 194,1. Which search strategy is also called as blind search?,a) Uninformed search,b) Informed search,c) Simple reflex search,d) All of the mentioned,a,"Explanation: In blind search, We can search the states without having any additional information. So uninformed search method is blind search."
Question 195,2. How many types are available in uninformed search method?,a) 3,b) 4,c) 5,d) 6,c,"Explanation: The five types of uninformed search method are Breadth-first, Uniform-cost, Depth-first,  Depth-limited and Bidirectional search."
Question 196,3. Which search is implemented with an empty first-in-first-out queue?,a) Depth-first search,b) Breadth-first search,c) Bidirectional search,d) None of the mentioned,b,"Explanation: Because of FIFO queue, it will assure that the nodes that are visited first  will be expanded first."
Question 197,4. When is breadth-first search is optimal?,a) When there is less number of nodes,b) When all step costs are equal,c) When all step costs are unequal,d) None of the mentioned,b,"Explanation: Because it always expands the shallowest unexpanded node."
Question 198,5. How many successors are generated in backtracking search?,a) 1,b) 2,c) 3,d) 4,a,"Explanation: Each partially expanded node remembers which successor to generate next because of these condition, it uses less memory."
Question 199,6. What is the space complexity of Depth-first search?,a) O(b),b) O(bl),c) O(m),d) O(bm),d,"Explanation: O(bm) is the space complexity where b is the branching factor and m is the maximum depth of the search tree."
Question 200,7. How many parts does a problem consists of?,a) 1,b) 2,c) 3,d) 4,d,"Explanation: The four parts of the problem are initial state, set of actions, goal test and path cost."
Question 201,8. Which algorithm is used to solve any kind of problem?,a) Breadth-first algorithm,b) Tree algorithm,c) Bidirectional search algorithm,d) None of the mentioned,b,"Explanation: Tree algorithm is used because specific variants of the algorithm embed different strategies."
Question 202,9. Which search algorithm imposes a fixed depth limit on nodes?,a) Depth-limited search,b) Depth-first search,c) Iterative deepening search,d) Bidirectional search,a,"Explanation: None."
Question 203,10. Which search implements stack operation for searching the states?,a) Depth-limited search,b) Depth-first search,c) Breadth-first search,d) None of the mentioned,b,"Explanation: It implements stack operation because it always expands the deepest node in the current tree."
Question 204,1. Blind searching is general term for,a)  Informed Search,b)  Uninformed Search,c)  Informed &  Unformed Search,d)  Heuristic Search,b,Explanation: In case of uninformed search no additional information except the problem definition is given.  
Question 205,2. Strategies that know whether one non-goal state is “more promising” than another are called,a)  Informed &  Unformed Search,b)  Unformed Search,c)  Heuristic & Unformed Search,d)  Informed & Heuristic Search,d,Explanation: Strategies that know whether one non-goal state is “more promising” than another are called informed search or heuristic search strategies.  
Question 206,3. Which of the following is/are Uninformed Search technique/techniques,a) Breadth First Search (BFS),b) Depth First Search (DFS),c) Bidirectional Search,d) All of the mentioned,d,"Explanation: Several uninformed search techniques includes BFS, DFS, Uniform-cost, Depth-limited, Bidirectional search etc. "
Question 207,4. Which data structure conveniently used to implement BFS?,a) Stacks,b) Queues,c) Priority Queues,d) All of the mentioned,b,"Explanation: Queue is the most convenient data structure, but memory used to store nodes can be reduced by using circular queues. "
Question 208,5. Which data structure conveniently used to implement DFS?,a) Stacks,b) Queues,c) Priority Queues,d) All of the mentioned,a,"Explanation: DFS requires node to be expanded the one most recent visited, hence stack is convenient to implement. "
Question 209,6. The time and space complexity of BFS is (For time and space complexity problems consider b as branching factor and d as depth of the search tree.),a) O(bd+1) and O(bd+1),b) O(b2) and O(d2),c) O(d2) and O(b2),d) O(d2) and O(d2),a,"Explanation: We consider a hypothetical state space where every state has b successors. The root of the search tree generates b nodes at the first level, each of which generates b more nodes, for a total of b2 at the second level. Each of these generates b more nodes, yielding b3 nodes at the third level, and so on. Now suppose that the solution is at depth d. In the worst case, we would expand all but the last node at level d (since the goal itself is not expanded), generating bd+1- b nodes at level d+1. "
Question 210,"7. Breadth-first search is not optimal when all step costs are equal, because it always expands the shallowest unexpanded node. State whether true or false.a) Trueb) FalseView Answer",,,,,b,"Explanation: Breadth-first search is optimal when all step costs are equal, because it always expands the shallowest unexpanded node. If the solution exists in shallowest node no irrelevant nodes are expanded. "
Question 211,8. uniform-cost search expands the node n with the__________,a) Lowest path cost,b) Heuristic cost,c) Highest path cost,d) Average path cost,a,"Explanation: Uniform-cost search expands the node n with the lowest path cost. Note that if all step costs are equal, this is identical to breadth-first search. "
Question 212,9. Depth-first search always expands the ______ node in the current fringe of the search tree.,a) Shallowest,b) Child node,c) Deepest,d) Minimum cost,c,Explanation: Depth-first search always expands the deepest/leaf node in the current fringe of the search tree. 
Question 213,10. Breadth-first search always expands the ______ node in the current fringe of the search tree.,a) Shallowest,b) Child node,c) Deepest,d) Minimum cost,a,Explanation: Breadth-first search always expands the shallowest node in the current fringe of the search tree. Traversal is performed level wise. 
Question 214,11. Optimality of BFS is,a) When there is less number of nodes,b) When all step costs are equal,c) When all step costs are unequal,d) None of the mentioned,b,Explanation: It always expands the shallowest unexpanded node. 
Question 215,12. LIFO is ______ where as FIFO is ________,"a) Stack, Queue","b) Queue, Stack","c) Priority Queue, Stack",d) Stack. Priority Queue,a,Explanation: LIFO is last in first out – Stack. FIFO is first in first out – Queue. 
Question 216,13. When the environment of an agent is partially observable in search space following problem/problems could occur.,"a) Sensorless problems: If the agent has no sensors at all, then (as far as it knows) it could be in one of several possible initial states, and each action might therefore lead to one of several possible successor states","b) Contingency problems: If the environment is partially observable or if actions are uncertain, then the agent’s percepts provide new information after each action. Each possible percept defines a contingency that must be planned for. A problem is called adversarial if the uncertainty is caused by the actions of another agent","c) Exploration problems: When the states and actions of the environment are unknown, the agent must act to discover them. Exploration problems can be viewed as an extreme case of contingency problems",d) All of the mentioned,d,Explanation: None. 
Question 217,"14. For general graph, how one can get rid of repeated states?",a) By maintaining a list of visited vertices,b) By maintaining a list of traversed edges,c) By maintaining a list of non-visited vertices,d) By maintaining a list of non-traversed edges,a,Explanation: Other techniques are costly. 
Question 218,15. DFS is ______ efficient and BFS is __________ efficient.,"a) Space, Time","b) Time, Space","c) Time, Time","d) Space, Space",a,Explanation: None. 
Question 219,"16. The main idea of Bidirectional search is to reduce the time complexity by searching two way simultaneously from start node and another from goal node.a) Trueb) FalseView Answer",,,,,a,"Explanation: The idea behind bidirectional search is to run two simultaneous searches-one forward from the initial state and the other backward from the goal, stopping when the two searches meet in the middle. The motivation is that bd/2 + bd/2 is much less than bd. "
Question 220,1. What is the other name of informed search strategy?,a) Simple search,b) Heuristic search,c) Online search,d) None of the mentioned,b,"Explanation: A key point of informed search strategy is heuristic function, So it is called as heuristic function."
Question 221,2. How many types of informed search method are in artificial intelligence?,a) 1,b) 2,c) 3,d) 4,d,"Explanation: The four types of informed search method are best-first search, Greedy best-first search, A* search and memory bounded heuristic search."
Question 222,3. Which search uses the problem specific knowledge beyond the definition of the problem?,a) Informed search,b) Depth-first search,c) Breadth-first search,d) Uninformed search,a,"Explanation: Informed search can solve the problem beyond the function definition, So does it can find the solution more efficiently."
Question 223,4. Which function will select the lowest expansion node at first for evaluation?,a) Greedy best-first search,b) Best-first search,c) Depth-first search,d) None of the mentioned,b,"Explanation: The lowest expansion node is selected because the evaluation measures distance to the goal."
Question 224,5. What is the heuristic function of greedy best-first search?,a) f(n) != h(n),b) f(n) < h(n),c) f(n) = h(n),d) f(n) > h(n),c,"Explanation: None."
Question 225,6. Which search uses only the linear space for searching?,a) Best-first search,b) Recursive best-first search,c) Depth-first search,d) None of the mentioned,b,"Explanation: Recursive best-first search will mimic the operation of standard best-first search, but using only the linear space."
Question 226,7. Which method is used to search better by learning?,a) Best-first search,b) Depth-first search,c) Metalevel state space,d) None of the mentioned,c,"Explanation: This search strategy will helps to problem solving efficiency by using learning."
Question 227,8. Which search is complete and optimal when h(n) is consistent?,a) Best-first search,b) Depth-first search,c) Both Best-first & Depth-first search,d) A* search,d,"Explanation: None."
Question 228,9. Which is used to improve the performance of heuristic search?,a) Quality of nodes,b) Quality of heuristic function,c) Simple form of nodes,d) None of the mentioned,b,"Explanation: Good heuristic can be constructed by relaxing the problem, So the performance of heuristic search can be improved."
Question 229,10. Which search method will expand the node that is closest to the goal?,a) Best-first search,b) Greedy best-first search,c) A* search,d) None of the mentioned,b,"Explanation: Because of using greedy best-first search, It will quickly lead to the solution of the problem."
Question 230,1. A heuristic is a way of trying,a) To discover something or an idea embedded in a program,b) To search and measure how far a node in a search tree seems to be from a goal,c) To compare two nodes in a search tree to see if one is better than another,d) All of the mentioned,d,"Explanation: In a heuristic approach, we discover certain idea and use heuristic functions to search for a goal and predicates to compare nodes. "
Question 231,2. A* algorithm is based on,a) Breadth-First-Search,b) Depth-First –Search,c) Best-First-Search,d) Hill climbing,c,"Explanation: Best-first-search is giving the idea of optimization and quick choose of path, and all these characteristic lies in A* algorithm. "
Question 232,3. The search strategy the uses a problem specific knowledge is known as,a) Informed Search,b) Best First Search,c) Heuristic Search,d) All of the mentioned,d,Explanation: The problem specific knowledge is also known as Heuristics and Best-First search uses some heuristic to choose the best node for expansion. 
Question 233,"4. Uninformed search strategies are better than informed search strategies.a) Trueb) FalseView Answer",,,,,a,"Explanation: Informed search strategies uses some problem specific knowledge, hence more efficient to finding goals. "
Question 234,"5. Best-First search is a type of informed search, which uses ________________ to choose the best next node for expansion.",a) Evaluation function returning lowest evaluation,b) Evaluation function returning highest evaluation,c) Evaluation function returning lowest & highest evaluation,d) None of them is applicable,a,"Explanation: Best-first search is an instance of the general TREE-SEARCH or GRAPH-SEARCH algorithm in which a node is selected for expansion based on an evaluation function, f (n) . Traditionally, the node with the lowest evaluation is selected for expansion, because the evaluation measures distance to the goal. "
Question 235,6. Best-First search can be implemented using the following data structure.,a) Queue,b) Stack,c) Priority Queue,d) Circular Queue,c,"Explanation: Best-first search can be implemented within our general search framework via a priority queue, a data structure that will maintain the fringe in ascending order of f-values. "
Question 236,"7. The name “best-first search” is a venerable but inaccurate one. After all, if we could really expand the best node first, it would not be a search at all; it would be a straight march to the goal. All we can do is choose the node that appears to be best according to the evaluation function. State whether true or false.a) Trueb) FalseView Answer",,,,,a,"Explanation: If the evaluation function is exactly accurate, then this will indeed be the best node; in reality, the evaluation function will sometimes be off, and can lead the search astray. "
Question 237,8. Heuristic function h(n) is ____,a) Lowest path cost,b) Cheapest path from root to goal node,c) Estimated cost of cheapest path from root to goal node,d) Average path cost,c,Explanation: Heuristic is an estimated cost. 
Question 238,9. Greedy search strategy chooses the node for expansion,a) Shallowest,b) Deepest,c) The one closest to the goal node,d) Minimum heuristic cost,c,"Explanation: Sometimes minimum heuristics can be used, sometimes maximum heuristics function can be used. It depends upon the application on which the algorithm is applied. "
Question 239,10. In greedy approach evaluation function is,a) Heuristic function,b) Path cost from start node to current node,c) Path cost from start node to current node + Heuristic cost,d) Average of Path cost from start node to current node and Heuristic cost,a,"Explanation: Greedy best-first search3 tries to expand the node that is closest to the goal, on the grounds that this is likely to lead to a solution quickly. Thus, it evaluates nodes by using just the heuristic function: f (n) = h(n). "
Question 240,11. What is the space complexity of Greedy search?,a) O(b),b) O(bl),c) O(m),d) O(bm),d,Explanation: O(bm) is the space complexity where b is the branching factor and m is the maximum depth of the search tree. Since this algorithm resembles the DFS. 
Question 241,12. In A* approach evaluation function is,a) Heuristic function,b) Path cost from start node to current node,c) Path cost from start node to current node + Heuristic cost,d) Average of Path cost from start node to current node and Heuristic cost,c,"Explanation: The most widely-known form of best-first search is called A* search. It evaluates nodes by combining g(n),t he cost to reach the node, and h(n.), the cost to get from the node to the goal: f(n) = g(n) + h(n). Since g(n) gives the path cost from the start node to node n, and h(n) is the estimated cost of the cheapest path from n to the goal. "
Question 242,"13. A* is optimal if h(n) is an admissible heuristic-that is, provided that h(n) never underestimates the cost to reach the goal.a) Trueb) FalseView Answer",,,,,a,"Explanation: A* is optimal if h(n) is an admissible heuristic-that is, provided that h(n) never overestimates the cost to reach the goal. Refer both the example from the book for better understanding of the algorithms. "
Question 243,"1. In many problems the path to goal is irrelevant, this class of problems can be solved using,",a) Informed Search Techniques,b) Uninformed Search Techniques,c) Local Search Techniques,d) Informed & Uninformed Search Techniques,c,"Explanation: If the path to the goal does not matter, we might consider a different class of algorithms, ones that do not worry about paths at all. Local search algorithms operate using a single current state (rather than multiple paths) and generally move only to neighbors of that state."
Question 244,"2. Though local search algorithms are not systematic, key advantages would include",a) Less memory,b) More time,c) Finds a solution in large infinite space,d) Less memory & Finds a solution in large infinite space,d,"Explanation: Two advantages: (1) they use very little memory-usually a constant amount; and (2) they can often find reasonable solutions in large or infinite (continuous) state spaces for which systematic algorithms are unsuitable."
Question 245,"3. A complete, local search algorithm always finds goal if one exists, an optimal algorithm always finds a global minimum/maximum. State whether True or False.a) Trueb) FalseView Answer",,,,,a,"Explanation: An algorithm is complete if it finds a solution if exists and optimal if finds optimal goal (minimum or maximum)"
Question 246,"4. _______________ Is an algorithm, a loop that continually moves in the direction of increasing value – that is uphill",a) Up-Hill Search,b) Hill-Climbing,c) Hill algorithm,d) Reverse-Down-Hill search,b,Explanation: Refer the definition of Hill-Climbing approach. 
Question 247,"5. Hill-Climbing algorithm terminates when,",a) Stopping criterion met,b) Global Min/Max is achieved,c) No neighbor has higher value,d) All of the mentioned,c,"Explanation: When no neighbor is having higher value, algorithm terminates fetching local min/max. "
Question 248,"6. One of the main cons of hill-climbing search is,",a) Terminates at local optimum & Does not find optimum solution,b) Terminates at global optimum & Does not find optimum solution,c) Does not find optimum solution & Fail to find a solution,d) Fail to find a solution,a,"Explanation: Algorithm terminates at local optimum values, hence fails to find optimum solution. "
Question 249,"7. Stochastic hill climbing chooses at random from among the uphill moves; the probability of selection can vary with the steepness of the uphil1 move.a) Trueb) FalseView Answer",,,,,a,Explanation: Refer to the definition of variants of hill-climbing search. 
Question 250,8. Hill climbing sometimes called ____________ because it grabs a good neighbor state without thinking ahead about where to go next.,a) Needy local search,b) Heuristic local search,c) Greedy local search,d) Optimal local search,c,Explanation: None. 
Question 251,9. Hill-Climbing approach stuck for the following reasons,a) Local maxima,b) Ridges,c) Plateaux,d) All of the mentioned,d,"Explanation: Local maxima: a local maximum is a peak that is higher than each of its neighboring states, but lower than the global maximum.  Ridges: Ridges result in a sequence of local maxima that is very difficult for greedy algorithms to navigate. Plateaux: a plateau is an area of the state space landscape where the evaluation function is flat."
Question 252,10. ___________ algorithm keeps track of k states rather than just one.,a) Hill-Climbing search,b) Local Beam search,c) Stochastic hill-climbing search,d) Random restart hill-climbing search,b,Explanation: Refer to the definition of Local Beam Search algorithm. 
Question 253,"11. A genetic algorithm (or GA) is a variant of stochastic beam search in which successor states are generated by combining two parent states, rather than by modifying a single state.a) Trueb) FalseView Answer",,,,,a,"Explanation: Stochastic beam search, analogous to stochastic hill climbing, helps to alleviate this problem. Instead of choosing the best k from the pool of candidate successors, stochastic beam search chooses k successors at random, with the probability of choosing a given successor being an increasing function of its value. "
Question 254,12. Mark two main features of Genetic Algorithm,a) Fitness function & Crossover techniques,b) Crossover techniques & Random mutation,c) Individuals among the population & Random mutation,d) Random mutation & Fitness function,a,Explanation: Fitness function helps choosing individuals from the population and Crossover techniques defines the offspring generated. 
Question 255,"13. Searching using query on Internet is, use of ___________ type of agent",a) Offline agent,b) Online agent,c) Both Offline & Online agent,d) Goal Based & Online agent,d,Explanation: Refer to the definitions of both the type of agent. 
Question 256,1. _________________ are mathematical problems defined as a set of objects whose state must satisfy a number of constraints or limitations.,a) Constraints Satisfaction Problems,b) Uninformed Search Problems,c) Local Search Problems,d) All of the mentioned,a,Explanation: Refer definition of CSPs. 
Question 257,2. Which of the Following problems can be modeled as CSP?,a) 8-Puzzle problem,b) 8-Queen problem,c) Map coloring problem,d) All of the mentioned,d,Explanation: All of above problems involves constraints to be satisfied. 
Question 258,3. What among the following constitutes to the incremental formulation of CSP?,a) Path cost,b) Goal cost,c) Successor function,d) All of the mentioned,d,"Explanation: Initial state: The empty assignment ( ), in which all variables are unassigned.Successor function: A value can be assigned to any unassigned variable, provided it does not conflict with previously assigned variables.Goal test: The current assignment is complete.Path cost: A constant cost (e.g., 1) for every step."
Question 259,4. The term ___________ is used for a depth-first search that chooses values for one variable at a time and returns when a variable has no legal values left to assign.,a) Forward search,b) Backtrack search,c) Hill algorithm,d) Reverse-Down-Hill search,b,Explanation: Refer definition of backtracking algorithm. 
Question 260,5. To overcome the need to backtrack in constraint satisfaction problem can be eliminated by,a) Forward Searching,b) Constraint Propagation,c) Backtrack after a forward search,d) Omitting the constraints and focusing only on goals,a,"Explanation: Forward Searching is technique in which a forward check till k steps is made to analyze that the goal can be achieved satiating all constraints. With constraint propagation, constraints on a variable can be propagated to next level/hierarchy and satisfied at that level, eliminating need to backtrack."
Question 261,"6. The BACKTRACKING-SEARCH algorithm in Figure 5.3 has a very simple policy for what to do when a branch of the search fails: back up to the preceding variable and try a different value for it. This is called chronological-backtracking. It is also possible to go all the way to set of variable that caused failure. State whether True or False.a) Trueb) FalseView Answer",,,,,a,Explanation: Intelligent backtracking 
Question 262,7. Consider a problem of preparing a schedule for a class of student. This problem is a type of,a) Search Problem,b) Backtrack Problem,c) CSP,d) Planning Problem,c,Explanation: Schedule developer needs to consider all constraints on teacher as well as students. 
Question 263,8. Constraint satisfaction problems on finite domains are typically solved using a form of ___________,a) Search Algorithms,b) Heuristic Search Algorithms,c) Greedy Search Algorithms,d) All of the mentioned,d,Explanation: Any Search techniques can be used 
Question 264,9. Solving a constraint satisfaction problem on a finite domain is an/a ___________ problem with respect to the domain size.,a) P complete,b) NP complete,c) NP hard,d) Domain dependent,b,"Explanation: None."
Question 265,"10.  ____________ is/are useful when the original formulation of a problem is altered in some way, typically because the set of constraints to consider evolves because of the environment.",a) Static CSPs,b) Dynamic CSPs,c) Flexible CSPs,d) None of the mentioned,b,Explanation: Refer to the definition of Dynamic CSPs algorithm. 
Question 266,11. Flexible CSPs relax on _______,a) Constraints,b) Current State,c) Initial State,d) Goal State,a,Explanation: Definition of flexible CSPs. 
Question 267,12. Language/Languages used for programming Constraint Programming includes,a) Prolog,b) C#,c) C,d) Fortrun,a,Explanation: None. 
Question 268,"13. Backtracking is based on,",a) Last in first out,b) First in first out,c) Recursion,d) Both Last in first out & Recursion,d,Explanation: Recursion uses LIFO. 
Question 269,"14. Constraint Propagation technique actually modifies the CSP problem.a) Trueb) FalseView Answer",,,,,a,"Explanation: Constraints are propagated towards goal node, modifying actual problem. "
Question 270,15. When do we call the states are safely explored?,a) A goal state is unreachable from any state,b) A goal state is denied access,c) A goal state is reachable from every state,d) None of the mentioned,c,Explanation: None. 
Question 271,16. Which of the following algorithm is generally used CSP search algorithm?,a) Breadth-first search algorithm,b) Depth-first search algorithm,c) Hill-climbing search algorithm,d) None of the mentioned,b,Explanation: Provides backtrack facility. 
Question 272,1. General games involves,a) Single-agent,b) Multi-agent,c) Neither Single-agent nor Multi-agent,d) Only Single-agent and Multi-agent,d,Explanation: Depending upon games it could be single agent (Sudoku) or multi-agent (Chess) 
Question 273,2. Adversarial search problems uses,a) Competitive Environment,b) Cooperative Environment,c) Neither Competitive nor Cooperative Environment,d) Only Competitive and Cooperative Environment,a,Explanation: Since in cooperative environment agents’ goals are I conflicts. They compete for goal. 
Question 274,"3. Mathematical game theory, a branch of economics, views any multi-agent environment as a game provided that the impact of each agent on the others is “significant,” regardless of whether the agents are cooperative or competitive.a) Trueb) FalseView Answer",,,,,a,"Explanation: None."
Question 275,"4. Zero sum games are the one in which there are two agents whose actions must alternate and in which the utility values at the end of the game are always the same.a) Trueb) FalseView Answer",,,,,b,Explanation: Utility values are always same and opposite. 
Question 276,5. Zero sum game has to be a ______ game.,a) Single player,b) Two player,c) Multiplayer,d) Three player,c,"Explanation: Zero sum games could be multiplayer games as long as the condition for zero sum game is satisfied."
Question 277,6. A game can be formally defined as a kind of search problem with the following components:,a) Initial State,b) Successor Function,c) Terminal Test,d) All of the mentioned,d,"Explanation: The initial state includes the board position and identifies the player to move. A successor function returns a list of (move, state) pairs, each indicating a legal move and the resulting state. A terminal test determines when the game is over. States where the game has ended are called terminal states. A utility function (also called an objective function or payoff function), which gives a numeric value for the terminal states. In chess, the outcome is a win, lose, or draw, with values +1, -1, or 0."
Question 278,7. The initial state and the legal moves for each side define the __________ for the game.,a) Search Tree,b) Game Tree,c) State Space Search,d) Forest,b,"Explanation: An example of game tree for Tic-Tac-Toe game."
Question 279,8. General algorithm applied on game tree for making decision of win/lose is ____________,a) DFS/BFS Search Algorithms,b) Heuristic Search Algorithms,c) Greedy Search Algorithms,d) MIN/MAX Algorithms,d,"Explanation: Given a game tree, the optimal strategy can be determined by examining the min/max value of each node, which we write as MINIMAX- VALUE(n). The min/max value of a node is the utility (for MAX) of being in the corresponding state, assuming that both players play optimally from there to the end of the game. Obviously, the min/max value of a terminal state is just its utility. Furthermore, given a choice, MAX will prefer to move to a state of maximum value, whereas MIN prefers a state of minimum value. "
Question 280,"9. The minimax algorithm (Figure 6.3) computes the minimax decision from the current state. It uses a simple recursive computation of the minimax values of each successor state, directly implementing the defining equations. The recursion proceeds all the way down to the leaves of the tree, and then the minimax values are backed up through the tree as the recursion unwinds.a) Trueb) FalseView Answer",,,,,a,Explanation: Refer definition of minimax algorithm. 
Question 281,10. The complexity of minimax algorithm is,a) Same as of DFS,b) Space – bm and time – bm,c) Time – bm and space – bm,d) Same as BFS,a,Explanation: Same as DFS. 
Question 282,1. Which is the most straightforward approach for planning algorithm?,a) Best-first search,b) State-space search,c) Depth-first search,d) Hill-climbing search,b,"Explanation: The straightforward approach for planning algorithm is state space search because it takes into account of everything for finding a solution."
Question 283,2. What are taken into account of state-space search?,a) Postconditions,b) Preconditions,c) Effects,d) Both Preconditions & Effects,d,"Explanation: The state-space search takes both precondition and effects into account for solving a problem."
Question 284,3. How many ways are available to solve the state-space search?,a) 1,b) 2,c) 3,d) 4,b,"Explanation: There are two ways available to solve the state-space search. They are forward from the initial state and backward from the goal."
Question 285,4. What is the other name for forward state-space search?,a) Progression planning,b) Regression planning,c) Test planning,d) None of the mentioned,a,"Explanation: It is sometimes called as progression planning, because it moves in the forward direction."
Question 286,5. How many states are available in state-space search?,a) 1,b) 2,c) 3,d) 4,d,"Explanation: There are four states available in state-space search. They are initial state,actions, goal test and step cost."
Question 287,6. What is the main advantage of backward state-space search?,a) Cost,b) Actions,c) Relevant actions,d) All of the mentioned,c,"Explanation: The main advantage of backward search will allows us to consider only relevant actions."
Question 288,7. What is the other name of backward state-space search?,a) Regression planning,b) Progression planning,c) State planning,d) Test planning,a,"Explanation: Backward state-space search will find the solution from goal to the action, So it is called as Regression planning."
Question 289,8. What is meant by consistent in state-space search?,a) Change in the desired literals,b) Not any change in the literals,c) No change in goal state,d) None of the mentioned,b,"Explanation: Consistent means that the completed actions will not undo any desired literals."
Question 290,9. What will happen if a predecessor description is generated that is satisfied by the initial state of the planning problem?,a) Success,b) Error,c) Compilation,d) Termination,d,"Explanation: None."
Question 291,10. Which approach is to pretend that a pure divide and conquer algorithm will work?,a) Goal independence,b) Subgoal independence,c) Both Goal & Subgoal independence,d) None of the mentioned,b,"Explanation: Subgoal independence approach is to pretend that a pure divide and conquer algorithm will work for admissible heuristics."
Question 292,1. Which search is equal to minimax search but eliminates the branches that can’t influence the final decision?,a) Depth-first search,b) Breadth-first search,c) Alpha-beta pruning,d) None of the mentioned,c,"Explanation: The alpha-beta search computes the same optimal moves as minimax, but eliminates the branches that can’t influence the final decision."
Question 293,2. Which values are independant in minimax search algorithm?,a) Pruned leaves x and y,b) Every states are dependant,c) Root is independant,d) None of the mentioned,a,"Explanation: The minimax decision are independant of the values of the pruned values x and y because of the root values."
Question 294,3. To which depth does the alpha-beta pruning can be applied?,a) 10 states,b) 8 States,c) 6 States,d) Any depth,d,"Explanation: Alpha–beta pruning can be applied to trees of any depth and it is possible to prune entire subtree rather than leaves."
Question 295,4. Which search is similar to minimax search?,a) Hill-climbing search,b) Depth-first search,c) Breadth-first search,d) All of the mentioned,b,"Explanation: The minimax search is depth-first search, So at one time we just have to consider the nodes along a single path in the tree."
Question 296,5. Which value is assigned to alpha and beta in the alpha-beta pruning?,a) Alpha = max,b) Beta = min,c) Beta = max,d) Both Alpha = max & Beta = min,d,"Explanation: Alpha and beta are the values of the best choice we have found so far at any choice point along the path for MAX and MIN."
Question 297,6. Where does the values of alpha-beta search get updated?,a) Along the path of search,b) Initial state itself,c) At the end,d) None of the mentioned,a,"Explanation: Alpha-beta search updates the value of alpha and beta as it gets along and prunes the remaining branches at node."
Question 298,7. How the effectiveness of the alpha-beta pruning gets increased?,a) Depends on the nodes,b) Depends on the order in which they are executed,c) All of the mentioned,d) None of the mentioned,a,"Explanation: None."
Question 299,8. What is called as transposition table?,a) Hash table of next seen positions,b) Hash table of previously seen positions,c) Next value in the search,d) None of the mentioned,b,"Explanation: Transposition is the occurrence of repeated states frequently in the search."
