Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation,
Question 246,'psychological counseling' is an example of,phased retirement,preretirement counseling,honoring experience,modifying selection procedure,B,No explanation,
Question 247,Less career plans and benefits for people of color are concluded in,bias,reality shock,promotion,transfer,A,No explanation,
Question 248,First step in management by objectives is to,set departmental goals,set organizational goals,set individual goals,discuss departmental goals,B,No explanation,
Question 249,Managers can support 'instrumentality' by creating,easy incentive plans,uneasy incentive plans,intrinsic incentive plans,extrinsic incentive plans,A,No explanation,
Question 250,In career development focus compensations planned for non-job related activities is part of,training and development,performance appraisal,recruiting and placement,compensation and benefits,D,No explanation,
Question 251,People who are often executives of chamber of commerce are classified in personality type of,non enterprising,enterprising,social,investigative,B,No explanation,
Question 252,A process of making workers highly skilled with help of on job training and formal learning is,job rotation,off the job training,job instruction training,apprenticeship training,D,No explanation,
Question 253,Standard of 'output' for a job is called,fair day's work,unfair day's work,incentive rate,systematic soldiering,A,No explanation,
Question 254,After ensuring external and internal equity next step in establishing pay rates is,group similar jobs,price each pay grade,fine tune pay rates,determining the worth of each job,A,No explanation,
Question 255,In career development providing assignments that develop careers is part of,individual role,manager role,employer role,line manager,B,No explanation,
Question 256,Plans that are designed to motivate employees short term performance are called,annual bonus,annual award,annual sales promotion,annual transfer,A,No explanation,
Question 257,Workflow detailed picture is called,organization chart,process chart,process management,production unit,B,No explanation,
Question 258,Reward given to workers whose work exceeds some set standards is called,financial incentives,non-financial incentives,effective incentives,ineffective incentives,A,No explanation,
Question 259,Non-citizen employees of a country in which they are working is classified as,expatriates,subordinates,coordinates,none of above,A,No explanation,
Question 260,'Hay consulting firm' emphasizes compensable factors such as,skills,efforts and responsibility,knowledge,accountability,D,No explanation,
Question 261,Focusing on daily tasks that can be easily relearn is part of,coaching,mentoring,informal training,formal training,A,No explanation,
Question 262,If a worker gets a premium for extra 'output' than a 'set standard' is called,standard hour plan,standard piece rate,standard piecework,variable hour plan,A,No explanation,
Question 263,In group interview questions are being asked from interviewee known as,panel interview,mass interview,computer interview,none of above,A,No explanation,
Question 264,Employees beliefs that successful performance leads to rewards is best explanation of,expectancy,instrumentality,valence,de-expectancy,B,No explanation,
Question 265,Techniques which allow employer for flexible labor stance is,job classification,job evaluation method,job ranking technique,pay ranges,D,No explanation,
Question 266,Employees training and evaluating performance before actual job is,situational test,reasoning test,video simulation test,miniature job training,D,No explanation,
Question 267,Manager reviewing and evaluating reward system is part of,antecedents,behavior,consequences,counseling,C,No explanation,
Question 268,In performance management main feature of performance management is to,increase salary,planning incentives,comparing performance with goals,comparing sales figures from last year,C,No explanation,
Question 269,Job schedules in which employees can work for fewer days but for longer time in each day are classified as,deferred work week,compressed work week,flexible work week,stable work week,B,No explanation,
Question 270,Ranking of all employees measuring a specific trait such as communicating is measured in,graphic rating scale method,management by objectives,alternation ranking method,paired comparison method,C,No explanation,
Question 271,'T-group' suggests that participation should be,voluntary,involuntary,in-house development,lifelong learning,A,No explanation,
Question 272,Method in which teams consisting managers compete on solving problems is called,management game,action learning,lifelong learning,case study method,A,No explanation,
Question 273,An interview in which candidates are asked about relevant past experiences is a,situational interview,situational test,behavioral tests,job related questions,D,No explanation,
Question 274,Benefits paid for time not worked are also called,compensation law benefits,supplemental pay benefits,optional pay benefits,unemployment pay benefits,B,No explanation,
Question 275,One who issues orders in chain of command outside their department is,staff managers,line managers,finance manager,both A and B,B,No explanation,
Question 276,People who are attracted to career involving verbal activities rather than physical activities are classified as,enterprising oriented,investigation oriented,social orientation,conventional orientation,A,No explanation,
Question 277,After translating company mission into strategic goals next step is to,formulate strategies,implement the strategies,evaluate performance,none of above,A,No explanation,
Question 278,First step in retirement management is to conduct,numerical analysis of retirements,determination of average retirement age,planning pension benefits,determine extent of retirement problem,A,No explanation,
Question 279,Total profit and rate of return is classified as,employer's ability to pay,employer's ability to hire,employer's ability to train employees,employer's ability to grow,A,No explanation,
Question 280,Enabling employees to link company's and his own departmental goals is,direction sharing,goal alignment,ongoing performance monitoring,ongoing feedback,B,No explanation,
Question 281,An interview in which you discuss person's career plans and plan professional development it is said to be,a satisfactory-promotable interview,a satisfactory-not promotable interview,an unsatisfactory-correctable interview,an unsatisfactory-uncorrectable interview,A,No explanation,
Question 282,Diagrams and charts available to guide workers at job site considered as,job rotation,job training,job aid,programmed learning,C,No explanation,
Question 283,Determining type of people which a company needs for job is referred as,job descriptions,job analysis,job specifications,both A and C,C,No explanation,
Question 284,In 'HRD' scorecard scales scale 1 represents,moderate maturity level,least maturity level,highest maturity level,all of above,B,No explanation,
Question 285,Strike occurs when labor does not agree on conditions of contract classified as,unfair labor practice strike,economic strike,sympathy strike,wildcat strike,B,No explanation,
Question 286,Pay for time not worked sick leave supplemental benefits and severance pay are types of benefits called,supplemental pay benefits,optional pay benefits,compensation law benefits,unemployment pay benefits,A,No explanation,
Question 287,Disadvantage of alternation ranking method is,difficult to develop,cause disagreements,time consuming,difficult to rate,B,No explanation,
Question 288,'Microsoft' pays new programmers for learning Windows particulars classified as,pay plan based on knowledge,pay plan based on title of job,pay plan based on tenure,pay plan based on performance,A,No explanation,
Question 289,Job changes in an existing job in same firm for retirement aged employees is an example of,phased retirement,preretirement counseling,honoring experience,modifying selection procedure,A,No explanation,
Question 290,'performance' appraisal feedback always includes,assessment of employee performance,setting work standards,providing feedback to the employees,all of above,D,No explanation,
Question 291,Managing workforce diversity is an example of,human process intervention,techno structural interventions,strategic intervention,HRM interventions,D,No explanation,
Question 292,Specific procedure according to which 'employees of company has legal rights to take part in policy designing' is classified as,sub-determination,sub-ordination,co-ordination,codetermination,D,No explanation,
Question 293,An employee is rated high in performance appraisal because of 'religion' is an example of,lenient/strict tendency,bias,central tendency,different tendencies,B,No explanation,
Question 294,Graphic and comparative illustration whether a change is needed or not is part of,action research,survey research,marketing research,human research,B,No explanation,
Question 295,Comparison of people's interests with people in same occupation is,interest inventory,HR applicant's inventory,management assessment center,all of above,A,No explanation,
Question 296,In career development assessing your own skills is included in,individual role,manager role,employer role,line manager,A,No explanation,
Question 297,Employees' inability to perform assigned task is classified as,misconduct,lack of qualifications,unsatisfactory satisfaction,insubordination,B,No explanation,
Question 298,Seeking guidance from experienced people for advising and counseling is called,mentoring,employee's performance,career interests,developmental needs,A,No explanation,
Question 299,Reviewing of data like productivity absenteeism down time and product quality is futile part of,planning,preparation,follow-up,active coaching,A,No explanation,
Question 300,Defining your business means stating,detail of your market offering,profit figures,personnel plan,all of above,A,No explanation,
Question 301,Advising counseling and guiding employees and subordinates is called,coaching,mentoring,career management,career development,B,No explanation,
Question 302,Model for organizational is introduced by,Maslow Abraham,Sigmund Freud,Kurt Lewin,both A and B,C,No explanation,
Question 303,People in profession of carpenters can be best classified as,realistic,non social,investigative,non realistic,A,No explanation,
Question 304,Step in which employer and employee discuss performance and plans for future is,defining the job,training session,feedback session,interview sessions,C,No explanation,
Question 305,Human capital refers to,education of firm's workers,training of firm's workers,skills and expertise of firm's workers,all of above,D,No explanation,
Question 306,Technique involving trainees to act on role of specific person in real situation is,behavior modeling,role playing,in-house development center,both A and B,B,No explanation,
Question 307,Motivation theory shows downside of 'extrinsic rewards' is explained in,Victor Vroom expectancy theory,Edward Deci motivation theory,Maslow's motivation theory,Fredrick Herzberg motivation theory,B,No explanation,
Question 308,Method of disciplining which usually involves systems of paid decision-making leaves and oral warnings is classified as,punitive discipline,distributive discipline,descriptive discipline,no punitive discipline,D,No explanation,
Question 309,Crucial functions for company's survival is managed by,financial manager,staff manager,line manager,both A and B,C,No explanation,
Question 310,Company marketing and selling current product aggressively is,market penetration,market development,product development,both a and b,A,No explanation,
Question 311,Types of available union securities are,preferential shop,agency shop,closed shop,all of above,D,No explanation,
Question 312,People belongs to profession of college professors are tend to be,realistic oriented,investigative oriented,social oriented,artistic oriented,B,No explanation,
Question 313,Public recognition such as an award in organized function is best classified as an example of,financial awards,non-financial rewards,proportional award,fixed award,B,No explanation,
Question 314,Job analysis is must for employees,training,performance appraisal,compensations,all of above,D,No explanation,
Question 315,Convenient way in 'unfreezing stage' is,action research,survey research,marketing research,human research,B,No explanation,
Question 316,Competitive strategy is for,departmental strategy,business unit,none of above,all of above,B,No explanation,
Question 317,Second step in validating a test is,analyze the job,choose the tests,administer the tests,relate test scores,B,No explanation,
Question 318,Test in which PC-based situations and choices are given to solve situation is called,situational test,reasoning test,video simulation test,miniature job training,C,No explanation,
Question 319,Kind of arbitration which is also known as contract interpretation arbitration is,binding arbitration,non-binding arbitration,interest arbitration,rights arbitration,D,No explanation,
Question 320,In management by objectives goals are set by,supervisor and subordinates,top management,departmental managers,all of above,A,No explanation,
Question 321,Typical simulated tasks include,management games,leaderless group discussion,The in-basket,all of above,D,No explanation,
Question 322,Package of salary incentives and fringe benefits designed in a way to motivate employees is known as,HR strategy,performance appraisal,aligned reward strategy,aligned compensating strategy,C,No explanation,
Question 323,Involuntary termination of job of employee is classified as,procedural termination,dismissal,descriptive termination,distributive termination,B,No explanation,
Question 324,Management of performance ensures,continuous improvement,discontinue improvement,performance reviews,both A and C,D,No explanation,
Question 325,"A graphical tool used to summarize chain of activities to get ""big picture"" of performance is",HR scorecard,HR digital dashboard,strategy map,all of above,C,No explanation,
Question 326,Sales commission is an example of,time based pay,performance based pay,bonuses,salary incentives,B,No explanation,
Question 327,In Vroom's theory motivation is a product of,expectancy,instrumentality,valence,all of above,D,No explanation,
Question 328,Operating profit margin is included in,short-term of shareholder value,long-term shareholder value,economic value added,managerial job evaluation,A,No explanation,
Question 329,Method in which employer first choose higher and lowest then secondly choosing highest and lowest is,alternation ranking method,point method,ranking method,job classification,A,No explanation,
Question 330,'differentiation and integration' is an example of,human process intervention,techno structural interventions,strategic intervention,HRM interventions,B,No explanation,
Question 331,When company offers specific marketing which is not available by others is strategy of,focusers,corporate strategy,vertical integration,all of above,A,No explanation,
Question 332,'integrated strategic management' is an example of,human process intervention,techno structural interventions,strategic intervention,HRM interventions,C,No explanation,
Question 333,Form of misconduct which basically refers to rebelliousness or disobedience is classified as,misconduct,lack of qualifications,unsatisfactory satisfaction,insubordination,D,No explanation,
Question 334,When person's performance is satisfactory and ranked for promotion interview would be,satisfactory-promotable interview,satisfactory-not promotable interview,unsatisfactory-correctable interview,unsatisfactory-uncorrectable interview,A,No explanation,
Question 335,Type of interview in which employee is informed of his dismissal from job is classified as,termination interview,outplacement counseling,exit interviews,subordination interviews,A,No explanation,
Question 336,Validity of structured interviews is,high,low,moderate,none of above,A,No explanation,
Question 337,Navigating office politics needs,mentoring,employee's performance,career interests,developmental needs,A,No explanation,
Question 338,A rating scale which enlists traits and performance values is called,graphic rating scale method,management by objectives,alternation ranking method,in-house development,A,No explanation,
Question 339,Kind of bargaining in which both parties make every possible effort to negotiate and communicate for an agreement called,good faith bargaining,distributive bargaining,descriptive bargaining,collective bargaining,A,No explanation,
Question 340,'effective negotiation' is included in,personal competencies,interpersonal competencies,business management,Both A and C,B,No explanation,
Question 341,Compensations and reward packages are designed for employees must help company to achieve its,mission,vision,strategic goals,compensation strategy,C,No explanation,
Question 342,One of organizational development category is,techno structural,mobilize commitment,consolidation of gains,monitoring and assessing programs,A,No explanation,
Question 343,'rate of return on investment' is classified as,long-term shareholder value,calculating stock value,calculating return on investment,calculating working capital,A,No explanation,
Question 344,Portfolio of business that comprises business is identified in,competitive strategy,corporate level strategy,functional strategy,all of above,B,No explanation,
Question 345,In career stage when employees does more of an explicit career planning is called,stabilization sub stage,trial sub stage,establishment stage,exploration stage,A,No explanation,
Question 346,Coordination between workforce development and retention is part of,phased retirement,preretirement counseling,talent management,modifying selection procedure,C,No explanation,
Question 347,Intended directions and actions are stated in,mission statement,strategic goals,vision statement,none of above,C,No explanation,
Question 348,Company top executives compensation include,base pay,long-term,executive benefits,all of above,D,No explanation,
Question 349,Loyalty awards given to employees for completing several years is an example of,financial awards,non-financial rewards,non-motivating rewards,appraisal award,B,No explanation,
Question 350,Gaining market share by offering same products as of competitors in same market considered as,competitive strategy,corporate level strategy,functional strategy,none of above,B,No explanation,
Question 351,'HCM' talent management system includes,e-commerce integration,online training,monitoring performance metrics,all of above,D,No explanation,
Question 352,A company can create 'superior-subordinate' relationship through,line authority,hiring authority,staff authority,all of above,A,No explanation,
Question 353,'third-party intervention' is an example of,human process intervention,techno structural interventions,strategic intervention,HRM interventions,A,No explanation,
Question 354,Stage age from birth to 14 year is called,exploration stage,growth stage,establishment stage,maintenance stage,B,No explanation,
Question 355,'functional strategy' can also be considered as,departmental strategy,business unit,companywide strategy,business strategy,A,No explanation,
Question 356,Demonstrable skills knowledge or behaviors that enable employee's performance are called,competencies,job description,job specification,job evaluation,A,No explanation,
Question 357,A technique in which trainees are shown films on management techniques is called,behavior modeling,role playing,in-house development center,Both A and B,A,No explanation,
Question 358,'expectancy chart' is a graph to show relationship between,tasks performed and time utilized,test scores and job performance,both A and B,none of above,B,No explanation,
Question 359,Job evaluation process in which raters categorize jobs into groups is called,point method,job classification,job grading,aligned reward strategy,C,No explanation,
Question 360,Which are not related to firm's existing business in adding new product lines ?,related diversification,conglomerate diversification,diversification,all of above,B,No explanation,
Question 361,Coordination of workforce acquisition is futile part of,phased retirement,pre-retirement counseling,talent management,modifying selection procedure,C,No explanation,
Question 362,'total quality management' is an example of,human process intervention,techno structural interventions,strategic intervention,HRM interventions,B,No explanation,
Question 363,Showing employees their performance graphs and quantitative data is an example of,performance feedback,performance appraisal,appraisal system,appraisal feedback,A,No explanation,
Question 364,In setting SMART goals 'T' stands for,timely,tricky,transparent policies,none of above,A,No explanation,
Question 365,In career development focus matching job and individual competencies is part of,training and development,performance appraisal,recruiting and placement,compensation and benefits,C,No explanation,
Question 366,Offering flexible part-time work to retirement age senior employees is a technique to,keep retirees,keep employees,retirement benefits,talent management,A,No explanation,
Question 367,People having 'social work' as their careers are classified as,realistic orientation,investigative orientation,social orientation,artistic orientation,C,No explanation,
Question 368,Verification of deficiencies in performance to determine training or job rotation is called,need analysis competency model,competency model,task analysis,performance analysis,D,No explanation,
Question 369,Career stage in which person age is between 45 and 65 is concluded as,exploration stage,growth stage,midcareer crisis sub stage,maintenance stage,D,No explanation,
Question 370,People having careers as school administrator can be classified as,social,conventional,career anchors,artistic,A,No explanation,
Question 371,'educational level' of executive is classified as,working capital,human capital,compensation capital,size of working capital,B,No explanation,
Question 372,Position a person has over many years in any occupation is called,career,career management,career planning,career development,A,No explanation,
Question 373,First step in training process is,need analysis,instructional design,implement,evaluate,A,No explanation,
Question 374,Occasional incentives such as bonuses sales prizes are mostly paid with the,salary plan,commission plan,combination plan,proportionate plan,B,No explanation,
Question 375,Mostly employees' promotion decision is based on,performance appraisal,training results,hiring tests,in-house development,A,No explanation,
Question 376,Paid employees insurance by employers is futile part of,direct financial payments,salary increments,paid counseling,non direct financial payment,D,No explanation,
Question 377,In corporation orientation management style and evaluation criteria of home country is superior to anything that host country offers known as,polycentric,geocentric,ethnocentric,expat-centric,C,No explanation,
Question 378,Strategy employees use to seek for personal enrichment and greater convenience is,promotions,transfers,reality shock,formal training,B,No explanation,
Question 379,In career development focus employees career interests and aptitudes is part of,training and development,performance appraisal,recruiting and placement,human resource planning,C,No explanation,
Question 380,Providing new employees with basic information regarding background is,employee orientation,employee training,both A and B,none of above,A,No explanation,
Question 381,'B.F Skinner' proposed motivation model named as,behavior modification,behavior reinforcement,behavior reshaping,Both A and B,D,No explanation,
Question 382,'Team building' is an example of,human process intervention,techno structural interventions,strategic intervention,HRM interventions,A,No explanation,
Question 383,British bank exchanged psychometric test with role playing exercises an example of,phased retirement,flexible work,honoring experience,modifying selection procedure,D,No explanation,
Question 384,In order of court compelling parties either to desist a certain action or to resume a particular action' classified as,grievance procedure,lockout,injunction,strike procedure,C,No explanation,
Question 385,Process of classifying ranking jobs and assigning points to jobs is called,job evaluation,job grading,pay grading,job ranking,A,No explanation,
Question 386,Supply of services by outside vendors that are done previously by in-house employees is,outsourcing,off shoring,alternative staffing,none of above,A,No explanation,
Question 387,Persistent failure for performing duties to meet job standards is categorized as,unsatisfactory satisfaction,insubordination,misconduct,lack of qualifications,C,No explanation,
Question 388,Information about specific salary and wage rate for particular job is part of,salary survey,market survey,equity survey,HR survey,A,No explanation,
Question 389,Psychologist 'Edwin Locke' stated that specific and challenging goals lead to,higher task performance,lower task performance,fixed performance rewards,variable performance rewards,A,No explanation,
Question 390,Competency-based-job-analysis means defining job in terms of,measureable competency,behavioral competency,observable competency,all of above,D,No explanation,
Question 391,Competency based pay plan is more,person oriented,job oriented,tenure oriented,evaluation oriented,A,No explanation,
Question 392,Reduced responsibilities of senior employees on same job is,phased retirement,flexible work,honoring experience,modifying selection procedure,A,No explanation,
Question 393,People who choose automobile sales dealers is best classified as personality type of,social,non social,non artistic,non realistic,A,No explanation,
Question 394,Online and face to face feedback about goal's progress is,direction sharing,goal alignment,ongoing performance monitoring,ongoing feedback,D,No explanation,
Question 395,Main key in supervisory skills is,coaching,mentoring,appraisal performance,both A and B,D,No explanation,
Question 396,'quantitative process of job evaluation' does not include,classifying jobs,grading jobs,ranking jobs,none of above,D,No explanation,
Question 397,Instructing educating and training employees and subordinates is called,coaching,mentoring,career management,career development,A,No explanation,
Question 398,Protection available against wrongful discharge of employees from organization is classified as,statutory exceptions,common law exceptions,public policy exceptions,all of above,D,No explanation,
Question 399,Pay based on piecework is an example of,time based pay,performance based pay,bonuses,promotion,B,No explanation,
Question 400,Bonuses are part of,direct financial payments,payroll,counseling,indirect financial payments,A,No explanation,
Question 401,Neutral party who negotiates issues in agreement dispute makes a reasonable settlement by giving public recommendation is classified as,mediation,impasse,fact finder,arbitration,C,No explanation,
Question 402,Evaluation of trainee's reactions to a training program is classified as,measuring reaction,measuring learning,measuring behavior,measuring results,A,No explanation,
Question 403,To keep on track employees' performance building block to be used is,direction sharing,goal alignment,rewards and recognition,coaching and development support,C,No explanation,
Question 404,Classification of executive and management positions into series of grades called,job specification,job description,job evaluation,employee training,C,No explanation,
Question 405,Collective bargaining items that are introduced by any other party must be bargained' considered as,illegal bargaining items,mandatory bargaining items,voluntary bargaining items,involuntary bargaining items,B,No explanation,
Question 406,High performance work system leads to,superior employee performance,low labor costs,safer workplaces,less employee turnover rate,A,No explanation,
Question 407,Process of arming employees of organization with technology tools to get jobs done is called,workplace flexibility,work hour flexibility,work week flexibility,contributory flexibility,A,No explanation,
Question 408,'quality circles' is an example of,human process intervention,techno structural interventions,strategic intervention,HRM interventions,B,No explanation,
Question 409,In career development discussing procedures with employees is included in,individual role,manager role,employer role,line manager,C,No explanation,
Question 410,Kind of arbitration in which parties are not committed to accept award of arbitrator is classified as,binding arbitration,non-binding arbitration,interest arbitration,rights arbitration,B,No explanation,
Question 411,How many types of strategies are there in strategic planning?,3,4,5,6,A,No explanation,
Question 412,Stage when a person seriously explores occupational alternatives is called,the exploration stage,trial sub stage,establishment stage,maintenance stage,A,No explanation,
Question 413,An interview in which candidate is asked about behavior in past for given situation is,situational interview,situational test,behavioral tests,job related questions,C,No explanation,
Question 414,Grouping of jobs on basis of skills and physical efforts is called,rank jobs,grades,classes,columns,C,No explanation,
Question 415,Downside of management by objectives is,time consuming,large capital is needed,large pool of human capital is required,both A and B,A,No explanation,
Question 416,People who have an artistic personality often chose career of,advertising executives,school administrators,investment managers,credit managers,A,No explanation,
Question 417,When an employee harms a third party because of inadequate employee training it is called,training,negligent training,both A and B,none of above,B,No explanation,
Question 418,'cost advantages' can be best classified as,potential opportunities,potential Threats,potential Strengths,potential Weaknesses,C,No explanation,
Question 419,Medical organization consisting of surgeons and specialists that provides routine medical services to employees in exchange of paying nominal fee is called,preferred health organization,health maintenance organization,preferred provider organizations,preferred maintenance organizations,B,No explanation,
Question 420,A job analyst's task is to,prepare job description,integrate development activities,develop compensation plans,advise management,A,No explanation,
Question 421,Situation; when parties in negotiations are not able to settle negotiations further classified as,impasse,intervention,arbitration,mediation,A,No explanation,
Question 422,'market saturation' can be best classified as,potential opportunities,potential Threats,potential Strengths,potential Weaknesses,B,No explanation,
Question 423,For helping mentors and to make them understand about their respective responsibilities a manager needs,formal mentoring,informal mentoring,career interests,developmental needs,A,No explanation,
Question 424,Tests are classified on basis of measurement of,mental abilities,personality and interests,physical abilities,all of above,D,No explanation,
Question 425,HR maturity of company with respect to its strategic goals is measured by,Human Resource Development (HRD) scorecard,HR scorecard,both A and B,none of above,A,No explanation,
Question 426,In traditional focus an analysis of future and present skills and tasks is part of,training and development,performance appraisal,recruiting and placement,human resource planning,D,No explanation,
Question 427,'culture change' is an example of,human process intervention,techno structural interventions,strategic intervention,HRM interventions,C,No explanation,
Question 428,"According to Fredrick Herzberg person's ""higher-level"" needs are",accomplishment and recognition,food and shelter,friendships,secure income,A,No explanation,
Question 429,Coordination of workforce assessment and development is futile part of,phased retirement,preretirement counseling,talent management,modifying selection procedure,C,No explanation,
Question 430,'Volvo' stresses more safe cars as compared to others in market this can be an example of,diversification,cost leadership,consolidation,competitive advantage,D,No explanation,
Question 431,Process of reducing number of employed people in a firm is classified as,layoffs,downsizing,mergers,acquisitions,B,No explanation,
Question 432,Comparison of fairness between sales manager and production manager job pay rates is an example of,collective equity,primary equity,secondary equity,internal equity,D,No explanation,
Question 433,Process of instituting policies to enable employees to get their accumulated pension plans with ease after leaving organization is classified as,compatibility,durability,portability,profitability,C,No explanation,
Question 434,When company has a single product line it is said to be a part of,concentration strategy,market penetration,product development,both a &amp; b,A,No explanation,
Question 435,Accessing employees' telephones and computers for monitoring employees' rate and accuracy is,critical incident method,forced distribution method,behaviorally anchored rating scale,electronic performance monitoring,D,No explanation,
Question 436,Stage in which a person sees progress in comparison of major goals and ambitions is called,exploration stage,growth stage,midcareer crisis sub stage,maintenance stage,C,No explanation,
Question 437,According to Herzberg job salary and incentives are classified as,unhygienic,DE motivators,hygiene factor,extrinsic factors,C,No explanation,
Question 438,Recruiting employees selecting right one for job and giving them training leads to,organizing,controlling,Staffing,Leading,C,No explanation,
Question 439,A ''Strategic plan' is also called,long term plan,short term plan,Both A and B,none of above,A,No explanation,
Question 440,People with career of 'lawyer' can be classified under,enterprising orientation,investigative orientation,social orientation,conventional orientation,A,No explanation,
Question 441,Salary surveys are used for monitoring and maintaining,external equity,internal equity,compensating equity,collective equity,A,No explanation,
Question 442,An advantage of 'alternation ranking method' is that it,is simple to use,avoids central tendency and biases,ends up with predetermined rating figures,provides behavioral anchors,B,No explanation,
Question 443,Voluntarily helping less experienced employees is part of,formal mentoring,informal mentoring,career interests,developmental needs,B,No explanation,
Question 444,Reporting relationships and working conditions related to a job is stated in,job descriptions,job analysis,job specifications,Both A and C,A,No explanation,
Question 445,Several jobs rated with individual ranking comes under,combining ratings,ranking jobs,selection of compensable factors,grouping jobs,A,No explanation,
Question 446,In 'HRD' scorecard scales; scale'10' represents,moderate maturity level,least maturity level,highest maturity level,all of above,C,No explanation,
Question 447,Salary survey can be conducted through,primary data,secondary data,collective equity,both A and B,D,No explanation,
Question 448,Pay plan is based on influence-able competencies for companies to focus on,performance management process,high performance work system,less performance work system,quantitative job evaluation,A,No explanation,
Question 449,In career development focus an individual development plan is part of,training and development,performance appraisal,recruiting and placement,human resource planning,A,No explanation,
Question 450,Type of third party intervention in which an arbitrator dictates and determines terms of contract settlement is classified as,mediation,impasse,fact finder,arbitration,D,No explanation,
Question 451,When rating of employee trait biases its performance on other traits it is called,halo effect,Deja vu effect,narrow effect,none of above,A,No explanation,
Question 452,An Edward Deci's motivation theory explains the,extrinsic rewards causes detraction,intrinsic rewards causes detraction,extrinsic rewards causes motivation,intrinsic rewards causes motivation,A,No explanation,
Question 453,Procedure that aims to assess probable success of assignees in handling of a foreign transfer is classified as,adaptability screening,ethnocentric screening,polycentric screening,geocentric screening,A,No explanation,
Question 454,Kind of arbitration in which parties are committed to accept award of arbitrator can be best classified as,binding arbitration,non-binding arbitration,interest arbitration,rights arbitration,A,No explanation,
Question 455,Providing continuous learning training and help to employees for expansion of horizon is,job rotation,job training,lifelong learning,programmed learning,C,No explanation,
Question 456,Grouping of dissimilar jobs such as secretaries mechanics and firefighters called,rank jobs,grades,classes,columns,B,No explanation,
Question 457,Occupation of forestry and agriculture is an example of,realistic orientation,investigative orientation,social orientation,artistic orientation,A,No explanation,
Question 458,'competitive strategy' includes,cost leadership,differentiation,horizontal integration,both a and b,D,No explanation,
Question 459,Salary compression is a result of,monetary funds,interest rate,inflation,deflation,C,No explanation,
Question 460,Second step in pay rate establishment is to ensure the,internal equity,external equity,procedural equity,collective equity,A,No explanation,
Question 461,In career development providing support in developing career is part of,individual role,managerial role,employer role,line manager's role,B,No explanation,
Question 462,Process of establishing pay rates includes an ensuring is called,internal equity,external equity,procedural equity,all of above,D,No explanation,
Question 463,Lump sum payments given to employees who move from one assignment to another are classified as,ethnocentric allowances,mobility premiums,hardship allowances,Foreign Service premiums,B,No explanation,
Question 464,'strategic change' is an example of,human process intervention,techno structural interventions,strategic intervention,HRM interventions,C,No explanation,
Question 465,Basic difference between piecework and standard hour plan is of,percent premium,proportion premium,fixed premium,variable premium,A,No explanation,
Question 466,Plan which is firstly discussed in business plan is mostly,marketing plan,financial plan,personnel plan,production plan,A,No explanation,
Question 467,Performance management includes,daily and weekly interactions,meeting semiannually,yearly meetings,never having meeting with subordinates,A,No explanation,
Question 468,When person's performance is satisfactory but not promotable such type of an interview is,satisfactory-promotable interview,satisfactory-not promotable interview,unsatisfactory-correctable interview,unsatisfactory-uncorrectable interview,B,No explanation,
Question 469,Training which focuses on person's psychology is included in,coaching,mentoring,informal training,formal training,B,No explanation,
Question 470,An employee's salary paid for his skills and knowledge is called,competency based pay,time based pay,internship based salary,training based pay,A,No explanation,
Question 471,Workers with manual jobs are mostly paid as,pay plan based on knowledge,pay plan based on skills,pay plan based on tenure,pay plan based on performance,B,No explanation,
Question 472,In Lewin organization change process introduction of new attitudes and behaviors is included in,unfreezing stage,moving stage,refreezing stage,nonmoving stage,B,No explanation,
Question 473,Types of strikes include,economic strike,sympathy strike,wildcat strike,all of above,D,No explanation,
Question 474,A company manage reviews employees performance and matches with set standards are called,focal reviews,unvocal reviews,vocal reviews,local reviews,A,No explanation,
Question 475,An 'Equal Pay Act' emphasizes compensable factors are such as,skills,efforts and responsibility,working conditions,all of above,D,No explanation,
Question 476,Comparison of on-the-job behavior before and after training programs can be classified as,measuring reaction,measuring learning,measuring behavior,measuring results,C,No explanation,
Question 477,Training technique which allows trainees to solve problems and work in different departments is called,job rotation,action learning,lifelong learning,management development,B,No explanation,
Question 478,In career development discussing career development with subordinates is included in,individual role,manager role,employer role,line manager,B,No explanation,
Question 479,An interview in which supervisor and subordinate review appraisal called,structured interview,unstructured interview,appraisal interview,hiring interview,C,No explanation,
Question 480,Method of keeping and reviewing record of employees' undesirable behavior at different time intervals is,critical incident method,forced distribution method,alternation ranking method,paired comparison method,A,No explanation,
Question 481,A stage which concludes major career reassessments is called,exploration stage,growth stage,midcareer crisis sub stage,maintenance stage,C,No explanation,
Question 482,In which personality type we can include accountants?,realistic,investigative,social,conventional,D,No explanation,
Question 483,System which is usually based on information technology is,phased retirement,career management,talent management,modifying selection procedure,C,No explanation,
Question 484,Tool used to present manager with performance graphs and charts is,HR scorecard,digital dashboard,strategy map,all of above,B,No explanation,
Question 485,Top managers' salaries traditionally depend upon,company size,company performance,company internal equity,both A and B,D,No explanation,
Question 486,United States executives who are working in Australian branch of United Kingdom multinational bank are an example of,Third country nationals,home country nationals,home country nationals,Second country nationals,A,No explanation,
Question 487,An interview interviewer does not ask question as a set format called,non directive interview,directive interview,both A and B,none of above,A,No explanation,
Question 488,A company which produces raw materials is an example of,cost leadership,vertical integration,horizontal integration,Geographic expansion,B,No explanation,
