Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation,,,,,,,
Question 77,A has 50 coins of 10 paise denominations. While B has 10 coins of 50 paise denominations. C has 20 coins of 25 paise denominations while D has 25 coins of 20 paise denominations. The average number of paise per person is :,450 paise,500 paise,550 paise,650 paise,B, [(10 *50) + (50 *10) + (20*25) + (25 *20)] / 4 = 500.,,,,,,,
Question 78,The average income of A B and C is Rs. 12000 per month and average income of B C and D is Rs. 15000 per month. If the average salary of D be twice that of A then the average salary of B and C is in Rs. :,8000,18000,13500,9000,C, A+B+C = 12000*3B+C+D = 15000*3‰ Õ D-A = 3000*3 = 9000Also D = 2AThen D = 18000 and A = 9000ThereforeAverage salary of B and C= (45000-18000)/2 = 13500.,,,,,,,
Question 79,A passenger travels from Delhi to Merut at a speed of 30 kmph and return with a speed of 60 kmph. What is the average speed?,40,45,50,48,A, Average Speed = [(2*60*30)/(60+30)] = 40 kmph.,,,,,,,
Question 80,The average of 20 students is 12 years if the teacher's age is included average increases by one. The age of the teacher is:,30 yrs,33 yrs.,28 yrs,35 yrs.,B, Average of 20 students = 12 years.Total age of 20 students = 20*12 = 240 years.When teacher included average become 13 years.Now total age 20 students and teacher = 13*21 = 273 years.Age of teacher = 273-240 = 33 years.,,,,,,,
Question 81,The average wages of a worker during a fortnight comprising 15 consecutive working days was Rs.90 per day. During the first 7 days his average wages was Rs.87/day and the average wages during the last 7 days was Rs.92 /day. What was his wage on the 8th day?,93,90,92,97,D,The total wages earned during the 15 days that the worker worked = 15 * 90 = Rs. 1350.The total wages earned during the first 7 days = 7 * 87 = Rs. 609.The total wages earned during the last 7 days = 7 * 92 = Rs. 644.Total wages earned during the 15 days= wages during first 7 days + wage on 8th day + wages during the last 7 days.1350 = 609 + wage on 8th day + 644.wage on 8th day = 1350 - 609 - 644 = Rs. 97.,,,,,,,
Question 82,40% of the employees in a factory are workers. All the remaining employees are executives. The annual income of each worker is Rs. 390. The annual income of each executive is Rs. 420. What is the average annual income of all the employees in the factory together?,390,405,408,415,C,Let X be the number of employees.We are given that 40% of the employees are workers. Now 40% of X is (40/100)*X =0.4X.Hence the number of workers is 2X/5.All the remaining employees are executives so the number of executives equals(The number of Employees)-(The number of Workers)= X-(2X/5)=(3X/5)The annual income of each worker is Rs. 390.Hence the total annual income of all the workers together is= (2X/5)*390 =156X.Also the annual income of each executive is Rs. 420. Hence the total income of all the executives together is(3X/5)*420 =252XHence the total income of the employees is= 156X +252X =408X.The average income of all the employees together equals,,,,,,,
Question 83,The average price of 10 books is Rs.12 while the average price of 8 of these books is Rs.11.75. Of the remaining two books if the price of one book is 60% more than the price of the other what is the price of each of these two books?,Rs. 5 Rs.7.50,Rs. 8 Rs. 12,Rs. 16 Rs. 10,Rs. 12 Rs. 14,C,Total cost of 10 books = Rs. 120Total cost of 8 books = Rs. 94=> The cost of 2 books = Rs. 26Let the price of each book be x and y.=> x + y = 26 ---------------- (1)(160/100)y+y =26On Solving for y we gety = 10.Now Substituting y = 10 in (1) we getx + 10 = 26x = 16.So the price of each book is Rs. 16 and Rs. 10 respectively.,,,,,,,
Question 84,In a set of three numbers the average of first two numbers is 2 the average of the last two numbers is 3 and the average of the first and the last numbers is 4. What is the average of three numbers?,2,2.5,3,3.5,C,Let the three numbers be x y and z. We are given that(x+y)/2 =2(y+z)/2 =3(x+z)/2 =4Adding three equations(x+y)/2+(y+z)/2+(x+z)/2 =2+3+4x+y+z = 9The average of the three numbers is(x+y+z)/3 = 9/3 = 3.,,,,,,,
Question 85,Of the three numbers the first is twice the second and the second is twice the third. The average of the reciprocal of the numbers is 7/72. The numbers are:,36 18 9,24 12 6,20 10 5,16 8 4,B,Let three numbers be x yz.Givenx =2y=> x = 4z=> y = 2z=> z = zThe average of reciprocal numbers is 7/72.[(1/x)+(1/y)+(1/z)]/3 = 7/72=> (yz+xz+xy)/3xyz =7/72=> (2z2+4z2+8z2)/(3*4z*2z*z)= 7/72.=> (14z224z3)= 7/72=> 504 =84zz = 6So x = 4z = 4*6 = 24=> y = 2z = 2*6 = 12.Thus the numbers are 24 12 6.,,,,,,,
Question 86,The average monthly salary of 12 workers and 3 managers in a factory was Rs. 600. When one of the manager whose salary was Rs. 720 was replaced with a new manager then the average salary of the team went down to 580. What is the salary of the new manager?,640,690,420,570,C,The total salary amount = 15 ÌÑ 600 = 9000The salary of the exiting manager = 720.Therefore the salary of 12 workers and the remaining 2 managers= 9000‰öÕ720 = 8280When a new manager joins the new average salary drops to Rs.580 for the total team of 15 of them.The total salary for the 15 people i.e. 12 workers 2 old managers and 1 new manager =580ÌÑ15 =8700Therefore the salary of the new manager is9000 - 8700 = 300 less than that of the old manager who left the company which is equal to 720 - 300 = 420.AlternativelyThe average salary dropped by Rs.20 for 15 of them.Therefore the overall salary has dropped by 15ÌÑ20=300.Therefore the new manager's salary should be Rs.300 less than that of the old manager= 720‰öÕ300 =420.,,,,,,,
Question 87,The average of five different positive numbers is 25. x is the decrease in the average when the smallest number among them is replaced by 0. What can be said about x?,x is less than 5,x is greater than 5,x is equal to 5,Cannot be determined,A,Let a b c d and e be the five positive numbers in the decreasing order of size such that e is the smallest number. We are given that the average of the five numbers is 25. Hence we have the equation(a+b+c+d+e)/5=25a+b+c+d+e =125 ----------- (1) by multiplying by 5.The smallest number in a set is at least less than the average of the numbers in the set if at least one number is different.For example the average of 1 2 and 3 is 2 and the smallest number in the set 1 is less than the average 2. Hence we have the inequality0 < e<25.0> - e> - 25 by multiplying both sides of the inequality by -1 and flipping the directions of the inequalities. Adding this inequality to equation (1) yields0+125>(a+b+c+d+e)+(-e)>125 - 25125>(a+b+c+d)>100125>(a+b+c+d+0)>100 by adding by 025>(a+b,,,,,,,
Question 88,In 2011 the arithmetic mean of the annual incomes of Ramesh and Suresh was Rs. 3800. The arithmetic mean of the annual incomes of Suresh and Pratap was Rs. 4800 and the arithmetic mean of the annual incomes of Pratap and Ramesh was Rs. 5800. What is the arithmetic mean of the incomes of the three?,Rs. 4000,Rs. 4200,Rs. 4400,Rs. 4800,D,Let a b and c be the annual incomes of Ramesh Suresh and Pratap respectively.Now we are given thatThe arithmetic mean of the annual incomes of Ramesh and Suresh was Rs. 3800.Hence(a+b)/2 =3800 => a+b = 2*3800 =7600.The arithmetic mean of the annual incomes of Suresh and Pratap was Rs. 4800.Hence(b+c)/2 =4800b+c = 2*4800 =9600.The arithmetic mean of the annual incomes of Pratap and Ramesh was Rs. 5800.Hence(c+a)/2 =5800 c+a = 2*5800=11600Adding these three equations yields:(a+b)+(b+c)+(c+a)=7600 +9600 +116002a+2b+2c =28800a+b+c =14400The average of the incomes of the three equals the sum of the incomes divided by 3(a+b+c)/3 =14400 /3 = Rs. 4800,,,,,,,
Question 89,In Arun's opinion his weight is greater than 65 kg but less than 72 kg. His brother does not agree with Arun and he thinks that Arun's weight is greater than 60 kg but less than 70 kg. His mother's view is that his weight cannot be greater than 68 kg. If all are them are correct in their estimation what is the average of different probable weights of Arun?,67 kg.,68 kg.,69 kg.,Data inadequate,A,Let Arun's weight by X kg.According to Arun65< X<72According to Arun's brother60< X<70.According to Arun's motherX‰ä_68The values satisfying all the above conditions are 66 67 and 68.Required average= (66+67+68=201)/3 = 67 kg.,,,,,,,
Question 90,A student finds the average of 10 positive integers. Each integer contains two digits. By mistake the boy interchanges the digits of one number say ba for ab. Due to this the average becomes 1.8 less than the previous one. What was the difference of the two digits a and b?,8,6,2,4,C,Let the original number be (10a + b).After interchanging the digits the new number becomes (10b + a).The question states that the average of 10 numbers has become 1.8 less than the original average. Therefore the sum of the original 10 numbers will be (10*1.8 = 18_ more than the sum of the 10 numbers with the digits interchanged.10a+b = 10b+a+189a - 9b =18a - b= 2,,,,,,,
Question 91,The average of first five multiples of 3 is:,9,10,8,11,A,First five multiples of three are:3691215.Average = (3+6+9+12+15)/3 = 9.AlternativelyAverage = (3 +15)/2 = 9.,,,,,,,
Question 92,There are two sections A and B of a class consisting of 36 and 44 students' respectively. If the average weight of section A is 40kg and that of section B is 35kg find the average weight of the whole class.,30 kg,35 kg,42.5 kg,37.25 kg,D,The otal weight of (36+44) Students of A and B= (36*40 +44*35)kg = 2980kg.Therefore average weight of the whole class= (2980/80) kg.Therefore average weight = 37.25kg.,,,,,,,
Question 93,Distance between two stations A and B is 778km. A train covers the journey from A to B at 84 km per hour and returns back to A with a uniform speed of 56 km per hour. Find the average speed of train during the whole journey.,60 km/hr,30.5 km/hr,57 km/hr,67.2 km/hr,D,The required average speed given by the formulaAverage speed =[2xy/(x+y)]km/hr.Wherex = 84 kmph.y = 56 kmph.Average speed = [(2*84*56)/(84+56)]= 67.2 kmph.,,,,,,,
Question 94,The average of 50 numbers is 30. If two numbers 35 and 40 are discarded then the average of the remaining numbers is nearly:,28.32,29.68,28.78,29.27,B,Total sum of 48 numbers= (50 ÌÑ 30) ‰ÛÒ (35 +40)= 1500 ‰ÛÒ 75= 1425Average = 1425/48 = 29.68,,,,,,,
Question 95,The average score of a cricketer for ten matches is 38.9 runs. If the average for the first six matches is 42 then find the average for the last four matches.,33.25,33.5,34.25,35,C,Total sum of last 4 matches= (10* 38.9) - (6* 42)= 389 - 252 = 137Average = 137/4 = 34.25,,,,,,,
Question 96,A Batsman makes a score of 87 runs in the 17th inning and thus increases his average by 3. Find his average after 17th inning.,40,39,52,55,B,Let the average after 17th innings = x.Then average after 16th innings = (x-3).Therefore 16*(x-3) + 87 = 17x.Therefore x = 39.,,,,,,,
Question 97,There were 35 students in a hostel. Due to the admission of 7 new students the expenses of the mess were increased by Rs.42 per day while the average expenditure per head diminished by Re 1. What was the original expenditure of the mess?,Rs. 450,Rs. 320,Rs. 550,Rs. 420,D,Let the original average expenditure be Rs.x then 42(x - 1) - 35x = 42.=> 7x = 84=> x = 12Therefore original expenditure= Rs.(35 * 12)=Rs.420.,,,,,,,
Question 98,Nine persons went to a hotel for taking their meals. Eight of them spent Rs.12 each on their meals and the ninth spent Rs.8 more than the average expenditure of all the nine. What was the total money spent by them.,Rs. 115,Rs. 116,Rs. 117,Rs. 118,C,Let the average expenditure of all the nine be x.Then 12 * 8 + (x + 8) = 9x.Therefore x = 13.Total money spent= 9x = Rs.(9 * 13) = Rs.117,,,,,,,
Question 99,David obtained 76 65 82 67 and 85 marks (out of 100) in English mathematics physics chemistry and biology. What are his average marks?,65,69,75,None of these,C,Average= (76+65+82+67+85)/5 =375/5 =75.Hence average =75.,,,,,,,
Question 100,The average of runs of a cricket player of 10 innings was 32. How many runes must be made in his next innings so as to increase his average of runs by 4?,72,74,70,76,D,Average after 11 innings = 36.Required number of runs= ( 36 * 11) - (32 * 10)= 396-320.= 76.,,,,,,,
Question 101,There are two sections A and B of a class consisting of 36 and 44 students respectively. If the average weight of section A is 40kg and that of section B is 35kg find the average weight of the whole class.,30 kg,35 kg,42.5 kg,37.25 kg,D,Total weight of (36 +44) Students= (36*40 +44*35)kg = 2980kg.Therefore average weight of the whole class= (2980/80) kg.Therefore average weight = 37.,,,,,,,
Question 102,Distance between two stations A and B is 778km. A train covers the journey from A to B at 84km per hour and returns back to A with a uniform speed of 56km per hour. Find the average speed of train during the whole journey.,60 km/hr,30.5 km/hr,57 km/hr,67.2 km/hr,D,Average speed =[2xy /(x+y)]km/hr.=[(2*84*56) /(84+56)] km/hr.=[(2*84*56)/140] km/hr.= 67.2km/hr.,,,,,,,
Question 103,The average of 50 numbers is 30. If two numbers 35 and 40 are discarded then the average of the remaining numbers is nearly:,28.32,29.68,28.78,29.27,B,Total sum of 48 numbers = (50 * 30) - (35 +40)= 1500 - 75= 1425Average = 1425 /48 = 29.68.,,,,,,,
Question 104,The average score of a cricketer for ten matches is 38.9 runs. If the average for the first six matches is 42 then find the average for the last four matches.,33.25,33.5,34.25,35,C,Total sum of last 4 matches= (10 * 38.9) - (6 * 42)= 389 - 252 = 137Average = 137 /4 = 34.25,,,,,,,
Question 105,Nine persons went to a hotel for taking their meals. Eight of them spent Rs.12 each on their meals and the ninth spent Rs.8 more than the average expenditure of all the nine. What was the total money spent by them.,Rs. 115,Rs. 116,Rs. 117,Rs. 118,C,Let the average expenditure of all the nine be RS. X.Then 12 * 8 + (X + 8) = 9X.Therefore X = 13 Total money spent = 9X = RS.(9 * 13) = Rs.117,,,,,,,
Question 106,David obtained 76 65 82 67 and 85 marks (out of 100) in English mathematics physics chemistry and biology. What are his average marks?,65,69,75,None of these,C,Average = (76+65+82+67+85) /5 =375 /5 =75.Hence average=75,,,,,,,
Question 107,The average of runs of a cricket player of 10 innings was 32. How many runes must be made in his next innings so as to increase his average of runs by 4?,72,74,70,76,D,Average after 11 innings = 36.Required number of runs = ( 36 * 11) - (32 * 10).=396 -320.=76.,,,,,,,
Question 108,The average wages of a worker during a fortnight comprising 15 consecutive working days was Rs.90 per day. During the first 7 days his average wages was Rs.87/day and the average wages during the last 7 days was Rs.92 /day. What was his wage on the 8th day?,83,92,90,97,D,The total wages earned during the 15 days that the worker worked = 15 * 90 = Rs. 1350.The total wages earned during the first 7 days = 7 * 87 = Rs. 609.The total wages earned during the last 7 days = 7 * 92 = Rs. 644.Total wages earned during the 15 days= wages during first 7 days + wage on 8th day + wages during the last 7 days.1350 = 609 + wage on 8th day + 644.wage on 8th day = 1350 - 609 - 644 = Rs. 97.,,,,,,,
Question 109,The average temperature on Wednesday Thursday and Friday was 20o. The average temperature on Thursday Friday and Saturday was 24o. If the temperature on Saturday was 27o what was the temperature on Wednesday?,24o,21o,27o,30o,D,Total temperature on Wednesday Thursday and Friday was 25*3 =75o.Total temperature on Thursday Friday and Saturday was 24*3=72o.Hence difference between the temperature on Wednesday and Saturday =3o.If Saturday temperature =27o thenWednesday's temperature = 27+3=30o.,,,,,,,
Question 110,When a student weighing 45 kgs left a class the average weight of the remaining 59 students increased by 200g. What is the average weight of the remaining 59 students?,57,56.8,58.2,52.2,A,Let the average weight of the 59 students be X. Therefore the total weight of the 59 of them will be 59X.The questions states that when the weight of this student who left is added the total weight of the class = 59X + 45.When this student is also included the average weight decreases by 0.2 kgs.59X + 45/ 60 = X - 0.2=> 59X + 45 = 60X - 12=> 45 + 12 = 60X - 59A=> X = 57.,,,,,,,
Question 111,The difference between two angles of a triangle is 24o. The average of the same two angles is 54o. Which one of the following is the value of the greatest angle of the triangle?,45o,60o,66o,72o,D,Let a and b be the two angles in the question with a > b. We are given that the difference between the angles is 24o.=> a ‰ÛÒ b = 24.Since the average of the two angles is 54o we have (a+b)/2 =54.Solving for b in the first equation yields b=a‰ÛÒ24 and substituting this into the second equation yields[{a+(a‰öÕ24)}/2] =542a‰öÕ24 = 54*22a‰öÕ24 = 1082a = 108 +242a =132a =66Alsob=a‰öÕ24=66‰öÕ24=42.Now let c be the third angle of the triangle. Since the sum of the angles in the triangle is180o a+b+c =180.Putting the previous results into the equation yields 66+42+c =180.Solving for c yields c =72Hence the greatest of the three angles a b and c is c which equ,,,,,,,
Question 112,The average age of a family of 5 members is 20 years. If the age of the youngest member be 10 years then what was the average age of the family at the time of the birth of the youngest member?,13.5,14,15,12.5,D,At present the total age of the family = 5*20 =100.The total age of the family at the time of the birth of the youngest member=[100‰öÕ10‰öÕ(10*4)]=50.Therefore average age of the family at the time of birth of the youngest member= 50/4 = 12.5.,,,,,,,
Question 113,Which one of the following numbers can be removed from the set S = {0 2 4 5 9} without changing the average of set S?,0,2,4,5,C,The average of the elements in the original set S is: (0+2+4+5+9) /5 =20 /5 =4.If we remove an element that equals the average then the average of the new set will remain unchanged. The new set after removing 4 is {0 2 5 9}.The average of the elements is(0+2+5+9) /4=16 /4 =4.,,,,,,,
Question 114,Average cost of 5 apples and 4 mangoes is Rs. 36. The average cost of 7 apples and 8 mangoes is Rs. 48. Find the total cost of 24 apples and 24 mangoes.,1044,2088,720,3240,B,Average cost of 5 apples and 4 mangoes = Rs. 36.Total cost = 36 * 9 = 324.Average cost of 7 apples and 8 mangoes = 48.Total cost = 48 * 15 = 720.Total cost of 12 apples and 12 mangoes = 324 + 720 = 1044.Therefore cost of 24 apples and 24 mangoes = 1044 * 2 = 2088.,,,,,,,
Question 115,The average weight of three boys A B and C is 163/3 kg while the average weight of three boys B D and E is 53 kg. What is the average weight of A B C D and E?,52.4 kg,53.2 kg,53.8 kg,Data inadequate,D,In this question sum of numbers is provided net required sum (i.e. A + B+ C+ D + E) cannot be calculated by the given data.Therefore the answer is Data inadequate.,,,,,,,
Question 116,Average of ten positive numbers is x. If each number is increased by 10% then x :,remains unchanged,may decrease,may increase,is increased by 10%,D, Let 10 numbers be x1 x2 x3 . . . . x10.According to question average of these 10 numbers is 10.=> (x1 + x2 + x3 + . . . . + x10)/10 = xNow if each number is increased by 10% then new average say yy = (1.1 x1 + 1.1 x2 + 1.1 x3 + . . . . . + 1.1 x10)/10=> y = 1.1 * ({x1 + x2 + x3 + . . . . . + x10}/10)=> y= 1.1 x=> y is 10% increased.,,,,,,,
Question 117,The banker's discount on a bill due 4 months hence at 15% is Rs. 420. The true discount is:,Rs. 400,Rs. 360,Rs. 480,Rs. 320,A,None,,,,,,,
Question 118,The banker's discount on Rs. 1600 at 15% per annum is the same as true discount on Rs. 1680 for the same time and at the same rate. The time is:,3 months,4 months,6 months,8 months,B,None,,,,,,,
Question 119,The banker's gain of a certain sum due 2 years hence at 10% per annum is Rs. 24. The present worth is:,Rs. 480,Rs. 520,Rs. 600,Rs. 960,C,None,,,,,,,
Question 120,The banker's discount on a sum of money for 11/2 years is Rs. 558 and the true discount on the same sum for 2 years is Rs. 600. The rate percent is:,10%,13%,12%,15%,C,None,,,,,,,
Question 121,The banker's gain on a sum due 3 years hence at 12% per annum is Rs. 270. The banker's discount is:,Rs. 960,Rs. 840,Rs. 1020,Rs. 760,C,None,,,,,,,
Question 122,The banker's discount of a certain sum of money is Rs. 72 and the true discount on the same sum for the same time is Rs. 60. The sum due is:,Rs. 360,Rs. 432,Rs. 540,Rs. 1080,A,None,,,,,,,
Question 123,The certain worth of a certain sum due sometime hence is Rs. 1600 and the true discount is Rs. 160. The banker's gain is:,Rs. 20,Rs. 24,Rs. 16,Rs. 12,C,None,,,,,,,
Question 124,The present worth of a certain bill due sometime hence is Rs. 800 and the true discount is Rs. 36. The banker's discount is:,Rs. 37,Rs. 37.62,Rs. 34.38,Rs. 38.98,B,None,,,,,,,
Question 125,The banker's gain on a bill due 1 year hence at 12% per annum is Rs. 6. The true discount is:,Rs. 72,Rs. 36,Rs. 54,Rs. 50,D,None,,,,,,,
Question 126,The banker's gain on a certain sum due 11/2 years hence is 3/25 of the banker's discount. The rate percent is:,51/5 %,91/11 %,81/8 %,61/6 %,B,None,,,,,,,
Question 127,The present worth of a sum due sometime hence is Rs. 576 and the banker's gain is Rs. 16. The true discount is:,Rs. 36,Rs. 72,Rs. 48,Rs. 96,D,None,,,,,,,
Question 128,The true discount on a bill of Rs. 540 is Rs. 90. The banker's discount is:,Rs. 60,Rs. 108,Rs. 110,Rs. 112,B,None,,,,,,,
Question 129,The banker's discount on a certain sum due 2 years hence is 11/10 of the true discount. The rate percent is:,11%,10%,5%,5.50%,C,None,,,,,,,
Question 130,A boat can travel with a speed of 13 km/hr in still water. If the speed of the stream is 4 km/hr find the time taken by the boat to go 68 km downstream.,2 hours,3 hours,4 hours,5 hours,C, Speed downstream = (13 + 4) km/hr = 17 km/hr.Time taken to travel 68 km downstream = 68/17 hrs = 4 hrs.,,,,,,,
Question 131,A man's speed with the current is 15 km/hr and the speed of the current is 2.5 km/hr. The man's speed against the current is:,8.5 km/hr,9 km/hr,10 km/hr,12.5 km/hr,C, Man's rate in still water = (15 - 2.5) km/hr = 12.5 km/hr.Man's rate against the current = (12.5 - 2.5) km/hr = 10 km/hr.,,,,,,,
Question 132,A boat running upstream takes 8 hours 48 minutes to cover a certain distance while it takes 4 hours to cover the same distance running downstream. What is the ratio between the speed of the boat and speed of the water current respectively?,2:01,3:02,8:03,Cannot be determined,C, Let the man's rate upstream be x kmph and that downstream be y kmph.Then distance covered upstream in 8 hrs 48 min = Distance covered downstream in 4 hrs.,,,,,,,
Question 133,A motorboat whose speed in 15 km/hr in still water goes 30 km downstream and comes back in a total of 4 hours 30 minutes. The speed of the stream (in km/hr) is:,4,5,6,10,B,None,,,,,,,
Question 134,In one hour a boat goes 11 km/hr along the stream and 5 km/hr against the stream. The speed of the boat in still water (in km/hr) is:,3 km/hr,5 km/hr,8 km/hr,9 km/hr,C, Speed in still water = 1/2(11+5) kmph = 8 kmph.,,,,,,,
Question 135,A boat running downstream covers a distance of 16 km in 2 hours while for covering the same distance upstream it takes 4 hours. What is the speed of the boat in still water?,4 km/hr,6 km/hr,8 km/hr,Data inadequate,B,None,,,,,,,
Question 136,The speed of a boat in still water in 15 km/hr and the rate of current is 3 km/hr. The distance travelled downstream in 12 minutes is:,1.2 km,1.8 km,2.4 km,3.6 km,D,none,,,,,,,
Question 137,A boat takes 90 minutes less to travel 36 miles downstream than to travel the same distance upstream. If the speed of the boat in still water is 10 mph the speed of the stream is:,2 mph,2.5 mph,3 mph,4 mph,A,none,,,,,,,
Question 138,A man can row at 5 kmph in still water. If the velocity of current is 1 kmph and it takes him 1 hour to row to a place and come back how far is the place?,2.4 km,2.5 km,3 km,3.6 km,A, Speed downstream = (5 + 1) kmph = 6 kmph.Speed upstream = (5 - 1) kmph = 4 kmph.Let the required distance be x km.Then x/6 + x/4 = 1‰àÕ 2x + 3x = 12‰àÕ 5x = 12‰àÕ x = 2.4 km.,,,,,,,
Question 139,A boat covers a certain distance downstream in 1 hour while it comes back in 11/2 hours. If the speed of the stream be 3 kmph what is the speed of the boat in still water?,12 kmph,13 kmph,14 kmph,15 kmph,D, Let the speed of the boat in still water be x kmph. ThenSpeed downstream = (x + 3) kmphSpeed upstream = (x - 3) kmph.‰ö« (x + 3) x 1 = (x - 3) x 3/2‰àÕ 2x + 6 = 3x - 9‰àÕ x = 15 kmph.,,,,,,,
Question 140,A boatman goes 2 km against the current of the stream in 1 hour and goes 1 km along the current in 10 minutes. How long will it take to go 5 km in stationary water?,40 minutes,1 hour,1 hr 15 min,1 hr 30 min,C,none,,,,,,,
Question 141,A man can row three-quarters of a kilometre against the stream in 111/4 minutes and down the stream in 71/2 minutes. The speed (in km/hr) of the man in still water is:,2,3,4,5,D, We can write three-quarters of a kilometre as 750 metres,,,,,,,
Question 142,Speed of a boat in standing water is 9 kmph and the speed of the stream is 1.5 kmph. A man rows to a place at a distance of 105 km and comes back to the starting point. The total time taken by him is:,16 hours,18 hours,20 hours,24 hours,D,none,,,,,,,
Question 143,A man takes twice as long to row a distance against the stream as to row the same distance in favour of the stream. The ratio of the speed of the boat (in still water) and the stream is:,2:01,3:01,3:02,4:03,B, Let man's rate upstream be x kmph.Then his rate downstream = 2x kmph.‰ö« (Speed in still water) : (Speed of stream),,,,,,,
Question 144,A man rows to a place 48 km distant and come back in 14 hours. He finds that he can row 4 km with the stream in the same time as 3 km against the stream. The rate of the stream is:,1 km/hr,1.5 km/hr,2 km/hr,2.5 km/hr,A,None,,,,,,,
Question 145,It was Sunday on Jan 1 2006. What was the day of the week Jan 1 2010?,Sunday,Saturday,Friday,Wednesday,C, On 31st December 2005 it was Saturday.Number of odd days from the year 2006 to the year 2009 = (1 + 1 + 2 + 1) = 5 days.‰ö« On 31st December 2009 it was Thursday.Thus on 1st Jan 2010 it is Friday.,,,,,,,
Question 146,What was the day of the week on 28th May 2006?,Thursday,Friday,Saturday,Sunday,D, 28 May 2006 = (2005 years + Period from 1.1.2006 to 28.5.2006)Odd days in 1600 years = 0Odd days in 400 years = 05 years = (4 ordinary years + 1 leap year) = (4 x 1 + 1 x 2) ‰äÁ 6 odd daysJan.         Feb.       March       April         May(31     +     28     +     31     +     30     +     28 ) = 148 days‰ö« 148 days = (21 weeks + 1 day) ‰äÁ 1 odd day.Total number of odd days = (0 + 0 + 6 + 1) = 7 ‰äÁ 0 odd day.Given day is Sunday.,,,,,,,
Question 147,What was the day of the week on 17th June 1998?,Monday,Tuesday,Wednesday,Thursday,C, 17th June 1998 = (1997 years + Period from 1.1.1998 to 17.6.1998)Odd days in 1600 years = 0Odd days in 300 years = (5 x 3) ‰äÁ 197 years has 24 leap years + 73 ordinary years.Number of odd days in 97 years ( 24 x 2 + 73) = 121 = 2 odd days.Jan.         Feb.       March       April         May         June(31     +     28     +     31     +     30     +     31     +     17) = 168 daysTherefore 168 days = 24 weeks = 0 odd day.Total number of odd days = (0 + 1 + 2 + 0) = 3.Given day is Wednesday.,,,,,,,
Question 148,What will be the day of the week 15th August 2010?,Sunday,Monday,Tuesday,Friday,A, 15th August 2010 = (2009 years + Period 1.1.2010 to 15.8.2010)Odd days in 1600 years = 0Odd days in 400 years = 09 years = (2 leap years + 7 ordinary years) = (2 x 2 + 7 x 1) = 11 odd days ‰äÁ 4 odd days.Jan.     Feb.   March   April     Mayb   June     July       Aug.(31   +   28   +   31   +   30   +   31   +   30   +   31   +   15) = 227 days‰ö« 227 days = (32 weeks + 3 days) ‰äÁ 3 odd days.Total number of odd days = (0 + 0 + 4 + 3) = 7 ‰äÁ 0 odd days.Given day is Sunday.,,,,,,,
Question 149,Today is Monday. After 61 days it will be:,Wednesday,Saturday,Tuesday,Thursday,B, Each day of the week is repeated after 7 days.So after 63 days it will be Monday.‰ö« After 61 days it will be Saturday.,,,,,,,
Question 150,If 6th March 2005 is Monday what was the day of the week on 6th March 2004?,Sunday,Saturday,Tuesday,Wednesday,A, The year 2004 is a leap year. So it has 2 odd days.But Feb 2004 not included because we are calculating from March 2004 to March 2005. So it has 1 odd day only.‰ö« The day on 6th March 2005 will be 1 day beyond the day on 6th March 2004.Given that 6th March 2005 is Monday.‰ö« 6th March 2004 is Sunday (1 day before to 6th March 2005).,,,,,,,
Question 151,On what dates of April 2001 did Wednesday fall?,1st 8th 15th 22nd 29th,2nd 9th 16th 23rd 30th,3rd 10th 17th 24th,4th 11th 18th 25th,D, We shall find the day on 1st April 2001.1st April 2001 = (2000 years + Period from 1.1.2001 to 1.4.2001)Odd days in 1600 years = 0Odd days in 400 years = 0Jan. Feb. March April(31 + 28 + 31 + 1)     = 91 days ‰äÁ 0 odd days.Total number of odd days = (0 + 0 + 0) = 0On 1st April 2001 it was Sunday.In April 2001 Wednesday falls on 4th 11th 18th and 25th.,,,,,,,
Question 152,How many days are there in x weeks x days?,7x2,8x,14x,7,B, x weeks x days = (7x + x) days = 8x days.,,,,,,,
Question 153,The last day of a century cannot be,Monday,Wednesday,Tuesday,Friday,C, 100 years contain 5 odd days.‰ö« Last day of 1st century is Friday.200 years contain (5 x 2) ‰äÁ 3 odd days.‰ö« Last day of 2nd century is Wednesday.300 years contain (5 x 3) = 15 ‰äÁ 1 odd day.‰ö« Last day of 3rd century is Monday.400 years contain 0 odd day.‰ö« Last day of 4th century is Sunday.This cycle is repeated.‰ö« Last day of a century cannot be Tuesday or Thursday or Saturday.,,,,,,,
Question 154,On 8th Feb 2005 it was Tuesday. What was the day of the week on 8th Feb 2004?,Tuesday,Monday,Sunday,Wednesday,C, The year 2004 is a leap year. It has 2 odd days.‰ö« The day on 8th Feb 2004 is 2 days before the day on 8th Feb 2005.Hence this day is Sunday.,,,,,,,
Question 155,The calendar for the year 2007 will be the same for the year:,2014,2016,2017,2018,D, Count the number of odd days from the year 2007 onwards to get the sum equal to 0 odd day.Sum = 14 odd days ‰äÁ 0 odd days.‰ö« Calendar for the year 2018 will be the same as for the year 2007.,,,,,,,
Question 156,Which of the following is not a leap year?,700,800,1200,2000,A, The century divisible by 400 is a leap year.‰ö« The year 700 is not a leap year.,,,,,,,
